"ID","score","fibre_n","fibre_cont","fibre_L","fibre_L.L","fibre_L3.L","fibre_A.L","fibre_W","fibre_course","fibre_kink.num","fibre_kink.ang","fibre_kink.cont","fibre_curl","MF.index","fibre_broken","fine_n","fine_cont","fine_cont.A","fine_cont.L","fine_cont.L.L","fine_A","fine_L"
"Graingrass-Leaf-H",70.38363145,-3.14212724319695,1.96654002466397,0.758533263997889,-0.0814552314413057,-0.73496400102151,-0.494187787432207,-1.53753447456342,-1.17751135377096,-0.600845483774957,1.31566819035245,0.864708466716849,-1.45030033769084,-1.70085336729025,-1.48680720537447,-0.526661562733531,2.77474636649212,0.527865195861615,0.26329740980536,0.294726878880899,-2.02689854534097,-2.15611462145431
"Graingrass-Leaf-L",69.7123768,0.435320788923759,-0.380831714167347,-1.6472991457438,-0.510860844588533,0.392031255017781,-1.54824959714923,0.0527750136656006,0.0442995776297325,-0.431579293123365,-0.710419986513974,-1.0775686375898,-0.0901549551420502,0.238995097463753,0.383672071179989,0.689281731045329,0.289015021331249,1.45022331049389,1.12338449490445,0.947309549600722,1.1393540997632,0.977275749101107
"Graingrass-Leaf-M",83.23881039,0.430710180354814,0.0951191344111427,-0.507694320076684,0.106409724310606,0.332715715226239,-0.667119803088907,-0.566743140383458,-0.444424794930544,-0.431579293123365,0.652971009053112,-0.418538890825677,-0.574621454277322,0.0722893700239564,-0.0462374742483654,1.17958134295878,1.31936203741843,1.4178472456277,1.16514566967912,1.03017354683247,-0.077216065502105,-0.0671877077507005
"Graingrass-Sheath-H",94.09044861,0.438864126990634,2.14845773636739,-0.444382940872955,-1.25337471732228,-1.64087406329233,-1.40002215515778,-1.33954413667146,-1.17751135377096,-0.0930469118201654,0.776534862722014,0.657036069284803,-1.05908795341259,-0.862273041380968,-1.32180146077076,-0.910117140603037,0.127862798977658,-0.545821044182248,-0.778800806970603,-0.933542509448954,-0.731072994716359,-0.41534219336797
"Graingrass-Sheath-L",87.25204884,0.442065938496846,0.866398420027146,-0.301932337664566,-0.698725800340445,-0.875164367801517,-0.988279260737063,-0.866922039768053,-0.933149167490821,-1.95497500898772,-1.18103970036673,-0.922714653377465,-1.2046553522138,-0.629895360707311,-1.03850846551739,-0.618742276240281,-0.104025524600846,0.158298410981653,-0.279839256339166,-0.349592346131603,0.814407019790059,1.15135299190974
"Graingrass-Sheath-M",85.17683231,0.444627387701815,1.07465390170029,-0.191137424058041,-0.77029340253165,-1.04771866537691,-1.01298383440231,-0.97549738635397,-0.933149167490821,-0.770111674426564,-0.0979860677240196,-0.39573093966262,-1.12504818099439,-0.574326784894046,-1.09268203829391,-0.729792810350506,-0.137202849435517,-0.171217982545323,-0.487196765769454,-0.607136404009774,0.142717628869962,0.455044020675203
"Graingrass-Stem-H",98.05004956,0.440657141434112,1.94495168862321,-0.175309579257109,-0.573482496505837,-0.718787035623817,-0.46124835587855,-1.1351670136862,-1.17751135377096,0.414751660134611,0.605699607407375,0.862307629752317,-0.699718437622111,-0.392465991323357,-1.06161920986701,-0.942420712304936,-0.0250255189141785,-0.928578077711398,-0.848322300237102,-1.08251407233927,-0.60228299350749,-0.0671877077507005
"Graingrass-Stem-L",77.85333882,0.448469561509269,0.902235057854797,0.0621080927568737,0.00800427129769998,0.111630521457766,0.131661412087278,-0.592290280756615,-0.933149167490821,-1.27791024638134,-1.82339222779322,-0.860292892299625,-0.974931800980646,-0.463189633267514,-1.01962226583384,-1.23257739987185,-0.909543222393491,-1.60943473071219,-2.32034336252569,-1.53516726497363,0.588529171516044,1.32543023471838
"Graingrass-Stem-M",96.20041939,0.4347231174426,1.22346949814122,0.33118145437272,0.16008542595401,0.170946061249307,0.197540275194592,-0.841374899394896,-0.933149167490821,-0.262313102471772,-0.336736564643601,-0.366920896088232,-0.94536342309915,-0.37225923648217,-1.01788274744193,-1.22496940000578,-0.779706207963455,-1.6787434917961,-2.34182743509763,-1.61871988268099,0.101108551556328,0.977275749101107
"GreenleafBMR-Leaf-H",79.59763176,-2.05275712659676,2.38943154066229,-0.0750665621845378,-0.859752905270655,-1.29576546814154,-1.02396364492019,-1.4928269789104,-1.25896541586434,-0.882955801527615,1.28096260433406,0.798285310698122,-1.42224828688019,-1.70422115976378,-1.4948421236609,-0.776752938628526,1.59679311577732,0.0339103691747694,-0.229387894906185,-0.261295898481154,-1.61212869529395,-1.45980565021978
"GreenleafBMR-Leaf-L",71.42663549,0.444627387701815,0.184638767860136,-1.36239793932702,-0.904482656640158,-0.519271129052268,-1.34237814993888,-0.54758278510359,-0.444424794930544,-0.431579293123365,-0.518641705153758,-0.998341017760233,-0.777051118235253,-0.35710417035128,-0.434150075643545,0.711144854993886,0.925591249560403,1.37156146400419,0.981203385411502,1.00102194669831,0.586547786882062,0.629121263483838
"GreenleafBMR-Leaf-M",88.01879392,0.444413933601401,0.526454088505407,-0.665972768086006,-0.61821224787534,-0.616332921438427,-0.897695823964506,-0.89246918014121,-0.688786981210683,-0.770111674426564,0.719390320226226,-0.388528428769023,-1.10457776553797,-0.639998738127905,-0.668736555923525,0.926593460799869,1.56036621437227,1.34134380346242,0.951511914328935,0.992758500990987,-0.152508681593443,-0.0671877077507005
"GreenleafBMR-Sheath-H",91.41981531,0.436644204346327,2.2165329560159,0.299525764770856,-0.707671750614346,-1.30115778994077,-0.675354660977321,-1.33315735157817,-1.17751135377096,0.0762192788314266,0.87556545730896,1.31846665301346,-0.854383798848395,-1.20073618497086,-1.31161285304673,-0.945256363111039,0.0819914353306008,-0.837445450680648,-1.0402305889415,-1.18420036257102,-1.14320099858474,-0.763496678985239
"GreenleafBMR-Sheath-L",85.35694292,0.44727421854695,0.441971733465923,0.853500332803482,0.446355834718828,0.106238199658535,0.304593427743978,-0.764733478275424,-0.749877527780717,-1.44717643703293,-1.22352412463062,-0.946723023022788,-1.12049919978185,-0.821859531698593,-1.06783177555239,-0.44435936042147,-0.156651626062739,0.154701070440965,-0.258837971914911,-0.385400610863327,0.414167323725577,0.629121263483838
"GreenleafBMR-Sheath-M",87.35435053,0.432033595777382,0.886547533665183,0.995950936011871,0.339004431432021,-0.136416281306863,0.395176864516535,-1.00104452672713,-0.933149167490821,-0.770111674426564,-0.0958917651194621,-0.450950189846864,-1.25469414555172,-0.998668636558984,-1.27856200360051,-0.46132201855677,0.108973874493648,-0.173136564167022,-0.472230333191249,-0.552046765960967,-0.562655300827839,-0.41534219336797
"GreenleafBMR-Stem-H",100,0.442407465057508,1.0283109403328,0.521115591983906,0.267436829240817,0.149376774052383,0.61751802750372,-0.636997776409639,-0.933149167490821,2.44594594795376,0.722681367176245,1.44451059365141,-0.108350879992201,-0.104519734836435,-0.568838499702601,-0.903464678188569,-0.403193470954869,-1.27608117394181,-1.11385578146331,-1.2190904666686,-0.719184686912463,-0.41534219336797
"GreenleafBMR-Stem-L",71.77828619,0.438266455509474,0.0381259272635521,1.53409765924356,1.600383420052,1.65922687783708,1.35865523746101,-0.11966818385321,-0.505515341500579,-0.431579293123365,-1.06555387102969,-0.655021331832111,-0.574621454277322,-0.902686551063344,-0.749499909833476,-1.34792518341527,-1.33858469527385,-1.35114567989082,-1.82355435855883,-2.07871836038852,0.55484563273834,0.977275749101107
"GreenleafBMR-Stem-M",81.48921037,0.436772276806575,0.112389803243746,1.24919645282679,1.21570755827428,1.20627184670167,1.18572322180431,-0.138828539133077,-0.444424794930544,1.09181642274099,0.337329687937623,0.277703828888696,-0.201604994849225,-0.341949104220389,-0.44433868336757,-1.27584349509674,-1.24026979064638,-1.51734281287059,-1.78034481934111,-1.93364898019333,0.176401167647666,0.629121263483838
"Sugargraze-Leaf-H",77.74178417,-2.26252558621041,1.07364644601838,1.78734317605848,0.78630194512705,-0.131023959507632,0.345767717186049,-1.17348772424594,-0.933149167490821,-0.262313102471772,1.38537854847558,2.0123085357633,-0.683797003378228,-1.4533206204857,-1.01763424481451,0.228087042560028,2.75186545281303,0.643939383974465,0.470896313309489,0.610115056710318,-1.93575485217777,-2.15611462145431
"Sugargraze-Leaf-L",59.31259135,0.442194010957094,-0.623916377986236,-0.0961703552524479,0.249544928693015,0.160161417650845,-0.593006082093178,-0.126054968946498,0.288661763909871,-0.431579293123365,0.996735822286942,-0.0320041395359731,-0.124272314236083,-0.00348596063049715,0.425420512585748,2.06122105126698,1.06034522629169,1.7574361926686,1.41281598944102,1.49017202454,0.330949169098308,-0.0671877077507005
"Sugargraze-Leaf-M",68.25350106,0.237790364400525,-1.09957938208418,-0.365243716868295,0.303220630336419,0.408208220415474,-0.708294092530978,0.0208410881991543,1.02174832275029,-1.78570881833613,-0.102773045105867,-1.11958328446912,-0.408583640019693,-0.59958522844553,0.147097569880686,2.43747112940366,0.576754681544495,2.55820419702564,1.68052201733181,1.77296549985721,1.05415456050195,0.455044020675203
"Sugargraze-Sheath-H",89.09850227,0.433954682681109,0.362238812355405,1.18588507362306,0.517923436910033,-0.0824930633145522,0.518699732842749,-0.700865627342532,-0.688786981210683,0.584017850786203,1.05717141173275,2.03391606844409,-0.0287437087727896,-0.220708575173263,-0.411287833921343,0.0535087486924539,0.361503703178389,-0.352523945795973,-0.212248915663402,-0.1331359766315,-0.99261576640206,-1.11165116460251
"Sugargraze-Sheath-L",75.73888237,0.439248344371379,-0.518709220347628,0.821844643201617,0.956275000331161,0.801847711759341,0.724571180053106,-0.177149249692813,0.0442995776297325,-1.10864405572975,-0.963232229492728,-0.981535159008507,-0.344897903044164,-0.614740294576421,-0.334003516795206,0.0805040162497969,-0.371294069490571,0.743465805600152,0.27053923202062,0.239407700673556,1.52176133412184,1.32543023471838
"Sugargraze-Sheath-M",80.06161997,0.430710180354814,-0.309590205232858,1.4549584352389,1.15308590635697,0.656255023180102,1.12807921658541,-0.419847083237805,-0.200062608650406,-0.262313102471772,0.730460205421745,0.115647333782764,-0.513210207908062,-0.609688605866124,-0.471673972383245,0.129370948872583,-0.146184825124435,0.31250440882579,0.0226275181848744,0.047282587978342,0.184326706183597,-0.0671877077507005
"Sugargraze-Stem(<1m)-H",81.21983442,0.430112508873654,-0.0439097496913128,-0.222793113659905,-0.349833739658323,-0.357501475075336,0.098721980533621,0.14219000497165,-0.200062608650406,2.44594594795376,0.614376003911974,0.865908885199115,0.517134036731742,1.22407439597165,0.472884514422057,0.449344675488001,0.412596296595834,-0.565486505804673,0.321956169748968,0.423269367661448,-1.05998284395747,-1.02461254319819
"Sugargraze-Stem(<1m)-L",44.48554266,0.44138288537552,-0.86397867475942,-0.491866475275752,-0.161968783906411,0.348892680623932,0.50223001706592,1.25349061120398,0.716295589900113,-0.939377865078156,-1.65883988029226,-0.796670712739518,0.796896381302814,0.0874444361548472,0.609560959500436,-1.01090018457686,-1.39628597812094,-1.36697397826985,-1.05930072077502,-1.10202498581489,0.897625174417328,1.23839161331406
"Sugargraze-Stem(<1m)-M",71.59579981,0.429301383292081,-0.571096915806525,-0.0328589760487193,0.0974637740367057,0.332715715226239,0.304593427743978,0.768094944113998,0.288661763909871,-0.431579293123365,-0.214369455320158,-0.462954374669525,0.535329961581892,0.835094365278787,0.741018849403095,-0.865070222507447,-1.15200788319919,-1.2278768106966,-0.935224166820227,-0.977843760046536,0.358688553974064,0.629121263483838
"Sugargraze-Stem(>1m)-H",87.53772437,0.442151320137011,0.789975710442877,-0.491866475275752,-0.940266457735761,-1.09085723977076,-0.741233524084635,-0.579516710570036,-0.688786981210683,0.414751660134611,0.756190208849169,0.745867036972499,-0.215251938486839,0.153116389388706,-0.233359952692036,-0.470516530884389,0.0442379277601123,-0.631677571753323,-0.373017368842182,-0.366348777704781,-0.711259148376533,-0.41534219336797
"Sugargraze-Stem(>1m)-L",73.15955863,0.440486378153781,-0.0800342319995076,-0.729284147289734,-0.815023153901153,-0.627117565036889,-0.667119803088907,-0.0302531925471596,-0.200062608650406,-1.10864405572975,-1.02995072675221,-0.892704191320811,-0.388113224563273,-0.0186410267613875,-0.181671406189668,-0.725927954959658,-0.766160220237486,-0.478430864720035,-0.470057786526671,-0.578902964509761,0.303209784222552,0.629121263483838
"Sugargraze-Stem(>1m)-M",84.92998119,0.441767102756266,0.238465685721749,-0.47603863047482,-0.761347452257749,-0.805064184411514,-0.691824376754149,-0.317658521745176,-0.444424794930544,-0.431579293123365,0.0812263980088493,-0.394530521180354,-0.463171414570147,0.127857945837222,-0.319341861777707,-0.792541193192021,-0.665374663760627,-0.68995448851246,-0.694312881125899,-0.755419346424479,-0.118825142815739,0.280966777866569
"Yemen-Leaf-H",92.54994246,-3.44343905134153,1.45575999393973,2.35714558889204,1.39462656375229,0.467523760207015,1.10337464292016,-1.34593092176475,-1.17751135377096,2.10741356665058,1.21843271228369,4.07822874374336,-0.206153976061763,-1.72106012213144,-1.24998420144776,-1.06583024254899,0.946780436111086,-0.388497351202848,-0.600410586401357,-0.650289953814673,-1.68411900366198,-1.80796013583705
"Yemen-Leaf-L",62.93820362,0.43186283249705,-0.746969893418534,-0.0328589760487193,0.866815497592155,1.15234862870936,-0.00833117201576462,-0.0941210434800522,0.288661763909871,-0.939377865078156,-0.0979860677240213,-0.885501680427214,-0.342623412437896,-0.74608420104414,-0.174216327367211,1.91503983576564,0.747886876885772,1.83441928023932,1.28946361770775,1.31595104421065,0.332930553732291,-0.0671877077507005
"Yemen-Leaf-M",78.74382769,-0.40786559853213,-0.211291315127292,0.663566195192296,1.13519400580917,0.995971296531659,0.50223001706592,-0.63061099131635,-0.26115315522044,1.09181642274099,1.16368165847883,0.828695912248864,-0.563249001245977,-1.16032267528848,-0.510191879632606,1.47528975650149,1.5454814497821,1.57421164779625,1.11879800750145,1.16192959783253,-0.445753607422866,-0.763496678985239
"Yemen-Sheath-H",92.86695932,0.434893880722931,0.0562601295377853,1.20171291842399,0.974166900878962,0.607724126987023,1.00455634825919,-0.413460298144515,-0.444424794930544,1.76888118534738,1.0766185073465,1.73021019243075,0.0849808215406545,-0.170191688070295,-0.194842045442675,0.15202199085386,0.202225768434681,-0.182249826870098,-0.0910690905947125,-0.0594535857412212,-0.643892070821125,-0.763496678985239
"Yemen-Sheath-L",82.36417784,0.43835183714964,-0.680765662893555,1.0117787808128,1.84192407744732,2.09061262177556,1.63040554777868,0.0655485838521793,0.0442995776297325,-0.939377865078156,-1.38508461126793,-1.04995901249768,0.146392067909913,-0.478344699398405,-0.167258253799584,0.450914105715776,-0.234410220475328,0.791909991548078,0.496725479210584,0.398708570698022,1.35928779413527,1.15135299190974
"Yemen-Sheath-M",87.69039789,0.43835183714964,-0.556129002818269,1.83482671046128,2.09241068511653,1.86952742800709,1.86921642654269,-0.100507828573342,-0.0167909689403021,-0.262313102471772,0.508164943252262,-0.0956263190960798,-0.181134579392805,-0.230811952593857,-0.187386966620218,0.132692375701568,-0.362665044065853,0.211299228281115,0.00910945004972166,-0.0849325433387939,0.404260400555664,0.280966777866569
"Yemen-Stem(<1m)-H",84.73223799,-2.20570410468017,-0.239787918701087,-0.840079060896259,-0.949212408009661,-0.902125976797673,-0.477718071655378,0.263538921744146,0.0442995776297325,1.09181642274099,0.859110222558861,0.768674988135556,0.471644224606364,1.03716191369066,0.498480285045827,0.27767676719928,1.06545691977319,0.179882454225777,0.916026985474158,1.09926513455201,-1.38294853929663,-1.45980565021978
"Yemen-Stem(<1m)-L",48.32922306,0.430069818053572,-1.05150935383344,-0.381071561669227,-0.170914734180311,0.219476957442387,-0.00833117201576462,1.73249949320068,1.14392941589036,-0.770111674426564,-1.80753536521586,-0.639415891562651,1.65665383047245,0.193529899071081,0.939323946080451,-1.03577084930885,-1.49221542579038,-1.09309645177217,-1.11144184072489,-1.11533831501002,1.36126917876925,1.32543023471838
"Yemen-Stem(<1m)-M",65.91069035,0.444115097860821,-0.815189035307316,-0.571005699280413,-0.475077043492931,-0.163377890303018,-0.271846624445021,1.20878311555096,0.777386136470148,0.245485469483019,0.22453653337787,-0.000793258997053134,1.17673631254972,1.17860919757897,1.04692558375125,-0.553348282443373,-1.05644355649272,-0.922582510143585,-0.472471727265091,-0.442556110338964,0.235842706667144,0.280966777866569
"Yemen-Stem(>1m)-H",93.53527165,0.438736054530385,0.49695002924971,-0.792595526493463,-0.949212408009661,-0.896733654998442,-0.658884945200492,-0.266564240998862,-0.444424794930544,0.75328404143781,0.828892427835957,0.745867036972499,-0.00372431210383284,0.451166023296223,0.209223226734495,0.153747296464802,0.607984694576692,-0.23141348092616,0.199569374311069,0.301613083637,-0.828160841781505,-0.763496678985239
"Yemen-Stem(>1m)-L",75.15878156,0.447658435927696,-0.424008386248855,-0.317760182465498,-0.117239032536908,0.28418481903316,0.172835701529349,0.627585672061634,0.0442995776297325,-0.939377865078156,-1.87425386247534,-0.832683267207503,0.239646182766938,-0.084312979995247,0.127962867569713,-0.948458214303622,-1.14738301766831,-1.0053213425794,-0.95357011643222,-1.02811305476607,0.675710095411278,0.977275749101107
"Yemen-Stem(>1m)-M",86.70181322,0.440571759793947,-0.156313019343505,-0.286104492863634,-0.215644485549814,0.0577073034654553,0.00813854376106393,0.212444640997832,-0.200062608650406,0.0762192788314266,0.117727100545426,-0.146043895351259,0.05313795305289,0.264253541015238,0.173687351014116,-0.829845588830587,-0.909324149815712,-0.879174600952623,-0.846149753572524,-0.875009769022097,0.257637937640952,0.54208264207952
