sample_name,age,SC,pass,fibre_n,fibre_cont,fibre_L,fibre_L.L,fibre_L3.L,fibre_A.L,fibre_W,fibre_course,fibre_kink.num,fibre_kink.ang,fibre_kink.cont,fibre_curl,MF.index,fibre_broken,fine_n,fine_cont,fine_cont.A,fine_cont.L,fine_cont.L.L,fine_A,fine_L
Sorg-Ex20-2,old,20,2,47731,35.981,212,273,359,273,15.1,0.1081,1.103,121.759,9.362,6.316,1.088,26.155,1289731,940.717,59.253,80.879,76.952,628,34
Sorg-Ex20-2,old,20,2,50119,34.793,213,275,362,277,15.2,0.1117,1.116,120.234,9.198,6.41,1.186,26.165,1338932,897.079,58.116,80.692,76.71,633,34
Sorg-Ex20-3,old,20,3,50018,33.902,210,268,346,266,15.4,0.1177,1.123,116.214,9.808,7.432,1.148,29.138,1361013,891.067,58.621,81.18,77.643,652,34
Sorg-Ex20-3,old,20,3,50095,34.165,211,271,353,269,15.4,0.1162,1.129,116.518,10.034,7.478,1.184,28.878,1349683,890.544,58.592,81.047,77.241,649,34
Sorg-Ex20-3,old,20,3,50003,33.246,211,269,349,267,15.5,0.1196,1.117,115.388,9.899,7.537,1.173,28.579,1362277,876.523,59.378,81.26,77.55,650,34
Sorg-Ex20-3,old,20,3,50013,33.073,210,267,347,265,15.4,0.1204,1.124,115.651,9.894,7.578,1.173,28.953,1380597,883.726,59.578,81.534,77.898,651,34
Sorg-Ex20-5,old,20,5,50143,32.805,212,272,353,277,16.3,0.1206,1.107,120.832,9.381,7.043,1.36,30.013,1387190,876.898,53.648,81.183,77.561,641,34
Sorg-Ex20-5,old,20,5,50099,32.933,213,271,350,276,16.2,0.1202,1.108,120.685,9.364,7.112,1.447,30.048,1362732,866.031,53.688,80.839,77.278,639,34
Sorg-Ex20-5,old,20,5,50053,32.558,212,270,350,273,16,0.1223,1.11,120.792,9.363,6.94,1.318,29.335,1380554,869.34,55.756,81.185,77.55,637,34
Sorg-Ex20-5,old,20,5,50008,32.686,212,269,346,273,16.1,0.1215,1.112,119.673,9.089,7.051,1.344,29.291,1403100,886.777,53.883,81.274,77.92,638,34
Sorg-Ex25-1,old,25,1,12553,27.552,212,267,338,259,15.3,0.1423,1.138,111.239,10.51,7.788,0.527,24.305,399409,842.63,66.639,83.035,79.623,632,33
Sorg-Ex25-1,old,25,1,12553,27.552,212,267,338,259,15.3,0.1423,1.138,111.239,10.51,7.788,0.527,24.305,399409,842.63,66.639,83.035,79.623,632,33
Sorg-Ex25-1,old,25,1,11001,29.048,212,270,344,263,15.3,0.134,1.106,112.967,10.259,7.722,0.508,23.85,358897,904.179,66.478,83.291,79.717,632,33
Sorg-Ex25-1,old,25,1,13087,30.032,210,264,333,258,15.4,0.1322,1.134,111.403,9.922,7.663,0.611,23.69,428657,949.681,67.028,83.47,80.208,627,33
Sorg-Ex25-2,old,25,2,28547,27.812,207,261,334,255,15.9,0.1446,1.123,114.048,9.334,7.559,0.926,27.916,1002919,946.483,65.838,84.55,81.566,622,33
Sorg-Ex25-2,old,25,2,28593,28.279,208,263,336,258,15.9,0.1421,1.125,113.355,9.418,7.642,0.914,28.29,990768,948.627,65.399,84.236,81.254,621,33
Sorg-Ex25-2,old,25,2,29388,27.361,205,258,331,254,15.8,0.1489,1.129,113.945,8.937,7.457,0.896,28.229,1060846,954.371,66.838,84.995,82.109,619,33
Sorg-Ex25-2,old,25,2,29348,27.763,206,258,329,252,15.9,0.1461,1.123,113.082,8.998,7.634,0.933,27.833,1027424,939.614,66.754,84.538,81.639,621,33
Sorg-Ex25-3,old,25,3,47861,28.406,208,263,337,260,16.8,0.1439,1.131,114.251,8.876,7.731,1.301,31.618,1410764,808.571,59.548,82.277,79.001,648,34
Sorg-Ex25-3,old,25,3,48770,27.452,209,264,343,263,16.6,0.1478,1.128,114.14,8.788,7.713,1.265,31.408,1466193,800.295,59.693,82.685,79.232,647,34
Sorg-Ex25-3,old,25,3,50083,28.159,210,266,345,265,16.9,0.1433,1.119,113.753,9.137,7.943,1.348,32.246,1451049,790.772,58.188,82.001,78.534,651,34
Sorg-Ex25-3,old,25,3,46580,29.106,206,260,333,257,15.8,0.1398,1.114,114.222,8.928,7.556,1.245,30.504,1515960,917.251,62.826,83.794,80.641,633,33
