variety,section,HPH,nanopaper,strip,weight,modulus_star,toughness_star,TI_star
Sugargraze,Sheath,H,2,7,0.2166,6.89,2.91,108.3297091
Sugargraze,Sheath,H,2,8,0.2152,7.05,2.48,102.71778
Sugargraze,Stem,L,1,1,0.2019,4.57,0.3,64.0122214
Sugargraze,Stem,L,1,2,0.1997,4.4,0.34,60.18721833
Sugargraze,Stem,L,1,3,0.2015,4.74,0.34,60.15081886
Sugargraze,Stem,L,1,4,0.1982,4.78,0.34,62.69841826
Sugargraze,Stem,L,1,5,0.1984,4.72,0.31,61.56864163
Sugargraze,Stem,L,1,6,0.2032,4.11,0.23,54.06033588
Sugargraze,Stem,L,1,7,0.2025,4.47,0.33,59.67
Sugargraze,Stem,L,1,8,0.2015,4.37,0.35,61.64836973
Sugargraze,Stem,L,2,1,0.2316,4.68,0.34,42.69963731
Sugargraze,Stem,L,2,2,0.23,4.48,0.17,36.25376087
Sugargraze,Stem,L,2,3,0.231,4.36,0.33,43.79450649
Sugargraze,Stem,L,2,4,0.2348,4.38,0.32,42.47908007
Sugargraze,Stem,L,2,5,0.2357,4.29,0.23,39.67079338
Sugargraze,Stem,L,2,6,0.2347,4.32,0.28,41.30739242
Sugargraze,Stem,L,2,7,0.2324,3.88,0.31,43.91163511
Sugargraze,Stem,L,2,8,0.2318,4.05,0.29,42.67850086
Sugargraze,Stem,M,1,1,0.1854,5.6,1.1,95.59765777
Sugargraze,Stem,M,1,2,0.1881,6.37,0.99,94.37063397
Sugargraze,Stem,M,1,3,0.188,5.67,1.55,108.4251782
Sugargraze,Stem,M,1,4,0.1886,5.99,0.72,84.98975345
Sugargraze,Stem,M,1,5,0.191,6.67,1.42,103.5376492
Sugargraze,Stem,M,1,6,0.1917,6.63,0.83,89.60569249
Sugargraze,Stem,M,1,7,0.193,5.74,0.81,86.0002228
Sugargraze,Stem,M,1,8,0.1904,6.19,1.19,94.78588235
Sugargraze,Stem,M,2,1,0.2198,5.97,1.3,73.16856688
Sugargraze,Stem,M,2,2,0.2245,5.54,0.85,62.56393096
Sugargraze,Stem,M,2,3,0.2261,6.22,1.08,68.25482972
Sugargraze,Stem,M,2,4,0.2235,6.24,1.21,71.79991611
Sugargraze,Stem,M,2,5,0.2256,6.2,1.06,69.14666888
Sugargraze,Stem,M,2,6,0.2218,6.13,0.97,68.18295311
Sugargraze,Stem,M,2,7,0.223,5.85,1.32,73.67581614
Sugargraze,Stem,M,2,8,0.2204,6.05,1.16,70.45270644
Sugargraze,Stem,H,1,1,0.23,7.6,3.13,108.8575435
Sugargraze,Stem,H,1,2,0.2307,7.82,1.66,94.11018531
Sugargraze,Stem,H,1,3,0.2329,7,1.47,90.83937849
Sugargraze,Stem,H,1,4,0.2307,7.27,1.18,85.18283485
Sugargraze,Stem,H,1,5,0.2304,6.79,1,80.46416016
Sugargraze,Stem,H,1,6,0.23,7.7,2.27,99.22981304
Sugargraze,Stem,H,1,7,0.2302,7.77,2.27,98.87872285
Sugargraze,Stem,H,1,8,0.2308,,,
Sugargraze,Stem,H,2,1,0.2278,6.82,2.2,97.75749232
Sugargraze,Stem,H,2,2,0.2292,7.2,2.26,97.68027487
Sugargraze,Stem,H,2,3,0.2308,6.88,2.66,105.8243826
Sugargraze,Stem,H,2,4,0.2314,7.9,0.95,79.63002809
Sugargraze,Stem,H,2,5,0.2311,7.19,1.97,96.41348334
Sugargraze,Stem,H,2,6,0.2294,7.79,1.03,80.69210113
Sugargraze,Stem,H,2,7,0.2275,7.02,1.77,92.7749967
Sugargraze,Stem,H,2,8,0.2278,6.89,1.53,89.72393547
Sugargraze,Stem,L,1,1,0.2325,6.59,1.17,87.12836129
Sugargraze,Stem,L,1,2,0.233,5.65,0.86,80.99174356
Sugargraze,Stem,L,1,3,0.2341,5.53,1.11,87.27222341
Sugargraze,Stem,L,1,4,0.2318,5.89,1.15,89.22474978
Sugargraze,Stem,L,1,5,0.2318,6.16,0.59,73.50493745
Sugargraze,Stem,L,1,6,0.2327,,,
Sugargraze,Stem,L,1,7,0.2332,6.38,1.33,91.10894511
Sugargraze,Stem,L,1,8,0.2326,6.38,1.18,86.99001075
Sugargraze,Stem,L,2,1,0.2357,5.33,1.15,84.90285745
Sugargraze,Stem,L,2,2,0.235,6.02,0.77,75.80830213
Sugargraze,Stem,L,2,3,0.2344,5.71,1.28,88.81828925
Sugargraze,Stem,L,2,4,0.238,5.54,1.22,85.59289286
Sugargraze,Stem,L,2,5,0.231,6.21,1.17,85.03167857
Sugargraze,Stem,L,2,6,0.2322,5.82,1.24,86.95587209
Sugargraze,Stem,L,2,7,0.2321,6.04,0.84,76.62616868
Sugargraze,Stem,L,2,8,0.2297,5.49,0.95,79.3585579
Sugargraze,Stem,M,1,1,0.2152,6.76,2.24,104.7290311
Sugargraze,Stem,M,1,2,0.215,6.38,2.07,102.7324884
Sugargraze,Stem,M,1,3,0.2139,6.33,1.6,94.3843338
Sugargraze,Stem,M,1,4,0.2149,6.28,1.88,100.0660644
Sugargraze,Stem,M,1,5,0.2158,6.47,2,101.3493628
Sugargraze,Stem,M,1,6,0.2149,6.32,2.24,105.7214693
Sugargraze,Stem,M,1,7,0.2143,6.42,2.03,102.3841344
Sugargraze,Stem,M,1,8,0.2156,6.35,2.33,107.1330195
Sugargraze,Stem,M,2,1,0.2152,6.99,1.69,96.53413801
Sugargraze,Stem,M,2,2,0.2151,6.54,1.06,85.91426778
Sugargraze,Stem,M,2,3,0.2146,,,
Sugargraze,Stem,M,2,4,0.2139,6.21,1.65,97.1993899
Sugargraze,Stem,M,2,5,0.2142,6.41,1.41,92.72741597
Sugargraze,Stem,M,2,6,0.216,6.43,0.94,82.6255
Sugargraze,Stem,M,2,7,0.2154,6.07,1.95,100.3690529
Sugargraze,Stem,M,2,8,0.2145,5.91,1.23,88.05344056
Sugargraze,Stem,H,1,1,0.2285,7.65,2.57,104.8700678
Sugargraze,Stem,H,1,2,0.2304,7.31,2.96,109.8088477
Sugargraze,Stem,H,1,3,0.2316,7.61,2.68,106.5026425
Sugargraze,Stem,H,1,4,0.2341,7.38,1.5,91.20654208
Sugargraze,Stem,H,1,5,0.2332,6.91,1.79,96.0246548
Sugargraze,Stem,H,1,6,0.233,7.42,2.34,102.6365601
Sugargraze,Stem,H,1,7,0.2285,7.53,2.35,104.0656608
Sugargraze,Stem,H,1,8,0.2323,,,
Sugargraze,Stem,H,2,1,0.225,6.92,1.71,92.41104
Sugargraze,Stem,H,2,2,0.2251,7.73,2.05,100.1528476
Sugargraze,Stem,H,2,3,0.2269,7.14,3,112.4818136
Sugargraze,Stem,H,2,4,0.2277,6.93,3.05,113.9362352
Sugargraze,Stem,H,2,5,0.229,6.69,2.07,100.1795109
Sugargraze,Stem,H,2,6,0.2295,6.62,1.42,91.48646078
Sugargraze,Stem,H,2,7,0.228,6.92,1.64,92.67838816
Sugargraze,Stem,H,2,8,0.2258,6.82,1.25,88.36963685
Yemen,Leaf,L,1,1,0.2304,7.06,1.74,78.0828125
Yemen,Leaf,L,1,2,0.2341,5.69,1.7,75.85316104
Yemen,Leaf,L,1,3,0.2311,6.67,1.33,73.83707486
Yemen,Leaf,L,1,4,0.233,6.91,0.97,67.74771245
Yemen,Leaf,L,1,5,0.2321,6.55,1.09,69.44318182
Yemen,Leaf,L,1,6,0.2289,,,
Yemen,Leaf,L,1,7,0.2338,6.68,2.1,81.95148631
Yemen,Leaf,L,1,8,0.2304,5.66,2.08,82.673125
Yemen,Leaf,L,2,1,0.2391,5.51,1.08,62.36933187
Yemen,Leaf,L,2,2,0.237,,,
Yemen,Leaf,L,2,3,0.2375,5.8,2.47,78.78884211
Yemen,Leaf,L,2,4,0.2385,5.68,1.15,63.12817925
Yemen,Leaf,L,2,5,0.242,5.54,0.83,58.63736157
Yemen,Leaf,L,2,6,0.2406,5.74,1.47,67.64812968
Yemen,Leaf,L,2,7,0.2358,6.38,2.36,78.76251908
Yemen,Leaf,L,2,8,0.2359,,,
Yemen,Leaf,M,1,1,0.2244,6.78,2.53,91.91679144
Yemen,Leaf,M,1,2,0.2261,6.62,1.88,84.92513047
Yemen,Leaf,M,1,3,0.2256,6.32,3.15,97.65081782
Yemen,Leaf,M,1,4,0.2249,7.19,2.22,90.08427746
Yemen,Leaf,M,1,5,0.2273,7.05,2.65,93.99426969
Yemen,Leaf,M,1,6,0.2274,7.34,2.59,92.01993404
Yemen,Leaf,M,1,7,0.2261,6.74,1.49,79.40455993
Yemen,Leaf,M,1,8,0.2239,6.69,2.53,90.48276016
