Biomass,Section,Level,Nanopaper,Strip,weight,thickness,density,porosity,grammage,strain_star,UTS_star,E_star,toughness_star,TI_star
Sorghum,Stem(<1m),H,2,1,0.2278,0.0971,1.042682229,28.58340897,101.2444444,3.2,101.93,6.82,2.2,97.75749232
Sorghum,Stem(<1m),H,2,2,0.2292,0.0972,1.048010974,28.21842644,101.8666667,3.24,102.37,7.2,2.26,97.68027487
Sorghum,Stem(<1m),H,2,3,0.2308,0.0974,1.053159936,27.8657578,102.5777778,3.57,111.45,6.88,2.66,105.8243826
Sorghum,Stem(<1m),H,2,4,0.2314,0.0962,1.069069069,26.77609116,102.8444444,1.79,85.13,7.9,0.95,79.63002809
Sorghum,Stem(<1m),H,2,5,0.2311,0.0972,1.056698674,27.62337849,102.7111111,2.9,101.88,7.19,1.97,96.41348334
Sorghum,Stem(<1m),H,2,6,0.2294,0.0972,1.048925469,28.15578982,101.9555556,1.9,84.64,7.79,1.03,80.69210113
Sorghum,Stem(<1m),H,2,7,0.2275,0.0963,1.049959617,28.08495774,101.1111111,2.72,97.41,7.02,1.77,92.7749967
Sorghum,Stem(<1m),H,2,8,0.2278,0.097,1.043757159,28.50978361,101.2444444,2.48,93.65,6.89,1.53,89.72393547
Sorghum,Stem(>1m),L,1,1,0.2325,0.1216,0.849780702,41.79584235,103.3333333,2.39,74.04,6.59,1.17,87.12836129
Sorghum,Stem(>1m),L,1,2,0.233,0.1215,0.852309099,41.62266444,103.5555556,1.99,69.03,5.65,0.86,80.99174356
Sorghum,Stem(>1m),L,1,3,0.2341,0.1218,0.854223682,41.49152864,104.0444444,2.33,74.55,5.53,1.11,87.27222341
Sorghum,Stem(>1m),L,1,4,0.2318,0.1236,0.833513125,42.91005995,103.0222222,2.38,74.37,5.89,1.15,89.22474978
Sorghum,Stem(>1m),L,1,5,0.2318,0.1221,0.843752844,42.20870933,103.0222222,1.56,62.02,6.16,0.59,73.50493745
Sorghum,Stem(>1m),L,1,6,0.2327,0.1209,0.855436081,41.40848759,103.4222222,,,,,
Sorghum,Stem(>1m),L,1,7,0.2332,0.1208,0.857983812,41.23398551,103.6444444,2.57,78.17,6.38,1.33,91.10894511
Sorghum,Stem(>1m),L,1,8,0.2326,0.1193,0.866536276,40.64820024,103.3777778,2.39,75.38,6.38,1.18,86.99001075
Sorghum,Stem(>1m),L,2,1,0.2357,0.1263,0.829418492,43.19051424,104.7555556,2.53,70.42,5.33,1.15,84.90285745
Sorghum,Stem(>1m),L,2,2,0.235,0.1254,0.832890307,42.95271873,104.4444444,1.92,63.14,6.02,0.77,75.80830213
Sorghum,Stem(>1m),L,2,3,0.2344,0.1243,0.83811567,42.59481713,104.1777778,2.66,74.44,5.71,1.28,88.81828925
Sorghum,Stem(>1m),L,2,4,0.238,0.1258,0.840840841,42.40816159,105.7777778,2.6,71.97,5.54,1.22,85.59289286
Sorghum,Stem(>1m),L,2,5,0.231,0.1199,0.856269113,41.35143061,102.6666667,2.46,72.81,6.21,1.17,85.03167857
Sorghum,Stem(>1m),L,2,6,0.2322,0.1206,0.855721393,41.38894568,103.2,2.55,74.41,5.82,1.24,86.95587209
Sorghum,Stem(>1m),L,2,7,0.2321,0.1217,0.847621656,41.94372218,103.1555556,2.02,64.95,6.04,0.84,76.62616868
Sorghum,Stem(>1m),L,2,8,0.2297,0.1213,0.841623157,42.35457832,102.0888889,2.21,66.79,5.49,0.95,79.3585579
Sorghum,Stem(>1m),M,1,1,0.2152,0.103,0.928586839,36.39816169,95.64444444,3.45,97.25,6.76,2.24,104.7290311
Sorghum,Stem(>1m),M,1,2,0.215,0.1029,0.928625418,36.39551929,95.55555556,3.27,95.4,6.38,2.07,102.7324884
Sorghum,Stem(>1m),M,1,3,0.2139,0.1039,0.914982355,37.3299757,95.06666667,2.81,86.36,6.33,1.6,94.3843338
Sorghum,Stem(>1m),M,1,4,0.2149,0.1041,0.917493863,37.15795461,95.51111111,3.08,91.81,6.28,1.88,100.0660644
