Biomass,Section,Level,Morfi.Rep,fibre_n,fibre_cont,fibre_L,fibre_L.L,fibre_L3.L,fibre_A.L,fibre_W,fibre_course,fibre_kink.num,fibre_kink.ang,fibre_kink.cont,fibre_curl,MF.index,fibre_broken,fine_n,fine_cont,fine_cont.A,fine_cont.L,fine_cont.L.L,fine_A,fine_L
Sugarcane,Mulch,L,4,50007,23.91,253,362,513,378,25.3,0.15,1.06,108.04,3.83,7.45,1.57,42.42,360673,165.24,22.57,54.85,45.2,945,42
Sugarcane,Mulch,L,3,50016,23.69,251,358,507,370,25.3,0.15,1.07,108.47,3.83,7.47,1.6,43.26,358766,162.7,22.67,55.46,45.36,933,42
Sugarcane,Mulch,L,2,50115,23.95,251,358,508,371,25.3,0.15,1.06,107.86,3.64,7.41,1.59,42.36,367164,167.87,22.76,55.27,46.17,960,42
Sugarcane,Mulch,L,1,50020,24.02,251,359,513,373,25.2,0.15,1.05,108.16,3.79,7.43,1.56,41.92,381075,174.51,22.63,56.6,46.63,926,41
Sugarcane,Mulch,M,4,50104,26.26,255,365,513,375,23.8,0.14,1.06,128.93,4.19,6.21,1.76,43.38,519726,261.99,29.38,61.76,52.41,812,39
Sugarcane,Mulch,M,3,50155,25.71,252,358,502,368,24.1,0.14,1.07,127.7,4.38,6.42,1.86,44.72,495232,243.83,28.5,61.04,51.81,825,39
Sugarcane,Mulch,M,2,50033,25.21,253,360,502,369,24.2,0.14,1.07,126.91,4.33,6.39,1.87,45.01,490765,237.23,27.45,60.67,51.59,826,39
Sugarcane,Mulch,M,1,50140,25.8,254,362,508,371,23.8,0.14,1.07,129.04,4.33,6.2,1.72,43.95,520073,256.95,29,61.34,52.55,806,39
Sugarcane,Mulch,H,4,50111,31.02,222,295,399,302,22.1,0.13,1.07,131.77,4.61,5.91,2.12,46.61,941418,564.06,41.95,75.25,69.35,681,36
Sugarcane,Mulch,H,3,50121,31.29,222,296,403,302,22,0.13,1.07,131.64,4.71,5.93,2.16,46,944813,570.3,42.3,75.43,69.28,678,36
Sugarcane,Mulch,H,2,49577,31.33,223,295,396,302,21.9,0.13,1.06,130.53,4.73,5.88,2.08,45.7,959256,585.82,42.91,75.61,69.78,667,35
Sugarcane,Mulch,H,1,46623,31.25,222,296,401,304,21.8,0.13,1.07,130.94,4.67,5.85,2.07,45.1,920866,598.13,42.9,75.87,70.06,663,35
Spinifex,Leaf,L,4,50155,37.76,244,333,453,320,17.1,0.09,1.04,122.81,2.24,4,0.96,26.76,325900,234.13,38.18,57.57,46.17,1113,44
Spinifex,Leaf,L,3,50164,37.68,245,336,459,325,16.8,0.09,1.04,123.16,2,3.83,0.86,25.38,346568,248.84,40,59.03,47.24,1089,44
Spinifex,Leaf,L,2,50048,36.1,246,338,459,324,17,0.09,1.03,124.31,2.06,3.88,0.91,26.01,331574,228.85,38.88,58.08,46.29,1108,44
Spinifex,Leaf,L,1,50084,36.83,245,337,461,323,17,0.09,1.04,122.84,2.07,3.91,0.92,26.31,323777,227.59,38.71,57.59,45.82,1115,44
Spinifex,Leaf,M,3,50223,42.68,247,336,451,322,15.9,0.08,1.06,129.7,3.64,3.98,1.04,25.37,392014,319.69,38.97,59.93,49.15,972,42
Spinifex,Leaf,M,2,50033,43.22,247,337,454,322,15.3,0.07,1.06,129.17,3.38,3.72,0.9,23.82,420155,347.71,41.17,61.39,50.69,946,41
Spinifex,Leaf,M,1,50089,40.92,246,336,455,321,16.1,0.08,1.05,129.3,3.56,4.02,1.04,26.05,371745,291.74,38.53,59.42,48.07,987,42
Spinifex,Leaf,M,4,50092,42.76,244,331,445,317,15.5,0.08,1.05,130.73,3.2,3.69,0.94,23.72,416420,340.69,41.21,61.05,50.91,958,41
Spinifex,Leaf,H,4,50140,50.57,248,332,439,322,14.5,0.06,1.06,133.39,6.23,4.01,0.94,22.73,541735,525.55,41.09,64.13,54.78,751,37
