Process,Level,Morfi.Rep,fibre_n,fibre_cont,fibre_L,fibre_L.L,fibre_L3.L,fibre_A.L,fibre_W,fibre_course,fibre_kink.num,fibre_kink.ang,fibre_kink.cont,fibre_curl,MF.index,fibre_broken,fine_n,fine_cont,fine_cont.A,fine_cont.L,fine_cont.L.L,fine_A,fine_L
Silverson,HH,2,50000,34.199,244,344,483,330,19.6,0.099,1.054,115.188,2.864,5.324,1.075,31.435,618538,406.788,40.129,67.038,58.423,857,39
Silverson,HH,1,50151,33.834,244,342,477,329,19.6,0.0996,1.046,117.046,2.93,5.342,1.123,31.631,618697,401.029,39.625,66.809,58.518,856,39
Extrusion-10%,L,4,50114,29.355,235,327,450,315,19.9,0.1234,1.098,127.283,7.531,6.187,1.115,33.335,722998,407.22,43.888,69.813,62.466,817,38
Extrusion-10%,L,3,50159,28.763,235,325,448,312,19.9,0.1253,1.098,126.885,7.235,6.184,1.126,33.121,725018,399.895,43.318,69.551,62.575,818,38
Extrusion-10%,L,2,50135,28.915,235,326,451,313,20,0.1252,1.097,126.188,7.466,6.221,1.121,32.88,724257,402.442,44.149,69.93,62.559,823,38
Extrusion-10%,L,1,50101,28.615,234,324,446,312,19.9,0.1268,1.101,127.395,7.342,6.178,1.134,33.763,729206,401.422,43.992,70.071,62.804,818,38
Extrusion-10%,M,4,50079,33.599,238,329,452,319,18.3,0.1055,1.093,126.394,8.287,5.935,1.069,29.969,640644,413.151,42.602,67.152,59.59,813,38
Extrusion-10%,M,3,50108,33.958,238,329,450,319,18.3,0.1041,1.103,126.58,8.533,5.902,1.049,30.152,646654,421.067,43.21,67.784,59.63,803,38
Extrusion-10%,M,2,50030,33.013,238,329,453,321,18.2,0.1067,1.1,125.786,8.484,5.973,1.077,29.785,659526,418.452,42.605,67.818,60.15,803,38
Extrusion-10%,M,1,50096,33.821,239,331,455,320,18.3,0.1043,1.102,126.579,8.61,5.912,1.048,29.603,650438,421.974,43.115,67.574,59.682,805,38
Extrusion-10%,H,3,50067,34.162,237,327,454,318,18.2,0.1049,1.104,125.786,8.655,6.109,1.096,30.234,655256,430.863,43.992,68.498,60.066,798,38
Extrusion-10%,H,2,50025,33.261,236,324,444,314,18.2,0.1075,1.11,126.261,8.713,6.007,1.065,29.645,661435,423.567,44.37,68.005,60.546,800,38
Extrusion-10%,H,1,50039,33.37,234,321,441,311,18.5,0.1092,1.114,126.082,8.465,6.142,1.119,31.645,648884,416.833,44.925,68.581,61.292,870,39
Extrusion-10%,H,4,50097,33.479,235,322,440,312,18,0.1069,1.094,125.014,8.824,6.028,1.073,29.755,695989,449.664,44.842,69.033,61.754,794,38
Extrusion-15%,L,4,50131,31.115,234,319,435,310,18.3,0.1182,1.152,116.974,10.941,7.576,1.11,30.549,702318,419.732,44.735,68.932,62.029,803,37
