Biomass,Section,Level,Morfi.Rep,fibre_n,fibre_cont,fibre_L,fibre_L.L,fibre_L3.L,fibre_A.L,fibre_W,fibre_course,fibre_kink.num,fibre_kink.ang,fibre_kink.cont,fibre_curl,MF.index,fibre_broken,fine_n,fine_cont,fine_cont.A,fine_cont.L,fine_cont.L.L,fine_A,fine_L
GreenleafBMR,Leaf,L,4,50055,49.52,228,321,454,307,16.1,0.07,1.05,119.7,2.02,3.98,1.15,26.48,681346,650.64,47.81,71.13,62.77,836,40
GreenleafBMR,Leaf,M,1,50129,54.51,239,329,447,318,14.6,0.06,1.04,130.64,3.31,3.51,0.9,23.31,746229,783.66,49.52,71.4,63.09,742,38
GreenleafBMR,Leaf,M,2,50128,54.51,239,331,454,321,15,0.06,1.04,128.57,3.36,3.75,1.09,24.76,722232,758.6,47.38,70.73,62.4,756,38
GreenleafBMR,Leaf,M,3,50211,54.34,238,329,449,317,15.1,0.06,1.05,129.05,3.48,3.86,1.15,26.17,706366,738.52,45.48,70.26,61.95,756,38
GreenleafBMR,Leaf,M,4,50069,55.57,240,330,448,322,14.7,0.06,1.05,131.61,3.19,3.53,0.9,23.27,733705,788.33,48.31,70.85,62.66,740,38
GreenleafBMR,Leaf,H,1,35711,91.14,247,319,410,312,12.5,0.03,1.04,134.69,5.59,3.29,0.48,16.33,329441,810.45,33.95,58.87,49.05,563,34
GreenleafBMR,Leaf,H,2,34346,85.17,249,325,423,318,12.5,0.04,1.05,134.15,5.82,3.32,0.47,15.96,316571,755.51,34.04,58.46,48.67,564,34
GreenleafBMR,Leaf,H,3,36475,84.97,249,325,421,317,12.5,0.04,1.04,135.14,6.01,3.33,0.5,15.91,338813,758.32,34.14,58.41,48.88,566,34
GreenleafBMR,Leaf,H,4,,,,,,,,,,,,,,,,,,,,,
GreenleafBMR,Sheath,L,1,50178,53.91,262,358,481,355,15.3,0.06,1.03,114.97,2.17,3.59,0.88,20.26,406637,420.34,35.71,58.46,47.59,815,40
GreenleafBMR,Sheath,L,2,50184,54.85,263,361,486,359,15.4,0.05,1.04,115.42,2.17,3.63,0.97,20.33,403691,424.55,34.93,58.07,47.23,818,40
GreenleafBMR,Sheath,L,3,50054,54.08,264,360,483,356,15.4,0.06,1.04,113.38,2.17,3.73,0.95,20.65,404694,419.34,34.77,58.18,47.44,819,40
GreenleafBMR,Sheath,L,4,50188,50.22,263,359,482,354,15.3,0.06,1.03,111.16,2.18,3.63,0.88,20.21,409413,394.1,35.8,58.39,47.8,828,40
GreenleafBMR,Sheath,M,1,50076,61.93,266,357,470,359,14.4,0.05,1.05,122.72,3.15,3.47,0.82,18.29,397569,469.86,31.75,55.84,45.36,695,37
GreenleafBMR,Sheath,M,2,50028,59.88,265,358,478,362,14.4,0.05,1.04,124.19,3.16,3.48,0.84,18.42,402084,460.65,31.8,56.12,45.6,698,37
GreenleafBMR,Sheath,M,3,50008,61.35,265,356,471,357,14.5,0.05,1.04,122.99,3.33,3.56,0.86,18.47,404620,476.57,31.42,56.09,45.91,696,37
GreenleafBMR,Sheath,M,4,50135,60.79,265,355,468,357,14.4,0.05,1.05,122.72,3.18,3.48,0.81,17.79,404274,469.5,32.57,56.21,45.93,698,37
GreenleafBMR,Sheath,H,1,50122,84.73,254,328,419,328,13.2,0.04,1.06,130.85,6.8,3.97,0.75,17.83,287635,465.08,24.8,50.3,38.63,624,36
GreenleafBMR,Sheath,H,2,50058,85.06,254,327,416,325,13,0.04,1.06,131.51,6.98,3.92,0.73,17.72,287196,466,24.92,49.82,38.71,621,36
GreenleafBMR,Sheath,H,3,50145,82.59,255,328,420,328,13.2,0.04,1.06,131.05,6.92,3.96,0.75,18.45,288923,455.27,24.67,49.97,38.79,625,36
GreenleafBMR,Sheath,H,4,50030,83.98,254,326,416,324,13.1,0.04,1.05,131.68,6.86,3.9,0.7,17.64,291518,468.06,25.45,50.64,39.13,624,36
GreenleafBMR,Stem,L,1,50167,45.86,275,393,555,388,18,0.07,1.05,113.98,2.87,4.29,0.9,23.98,192252,168.3,19.16,41.92,28.79,841,41
GreenleafBMR,Stem,L,2,50195,45.68,273,391,558,387,17.8,0.07,1.05,114.74,2.65,4.24,0.86,23.48,197545,172,19.91,42.39,29.37,833,41
GreenleafBMR,Stem,L,3,50027,45.94,274,392,555,390,17.9,0.07,1.05,115.79,2.89,4.28,0.91,23.48,194251,170.51,19.67,42.09,29.02,835,41
GreenleafBMR,Stem,L,4,50004,47.52,273,391,552,387,17.8,0.06,1.05,115.7,2.71,4.17,0.85,23.32,194066,176.39,19.68,41.88,29.11,842,41
GreenleafBMR,Stem,M,1,50031,46.46,270,382,537,385,17.9,0.07,1.07,126.23,4.81,4.72,1.21,26.95,210574,187.22,17.83,42.27,30.57,794,40
GreenleafBMR,Stem,M,2,50113,48.03,268,379,531,380,17.7,0.07,1.08,127.9,4.62,4.63,1.17,26.26,213423,195.87,18.24,42.96,30.99,790,40
GreenleafBMR,Stem,M,3,50100,48.08,269,381,535,382,17.8,0.07,1.07,126.59,4.63,4.58,1.1,26.52,209999,192.87,17.88,42.46,30.48,790,40
GreenleafBMR,Stem,M,4,50114,47.59,270,382,533,384,17.8,0.07,1.07,126.38,4.83,4.69,1.15,26.81,211633,192.02,17.54,42.38,30.57,786,40
GreenleafBMR,Stem,H,1,50109,63.55,259,356,488,368,15.9,0.05,1.09,129.9,7.12,4.75,1.31,25.17,298228,363.95,20.08,49.2,38.27,676,37
GreenleafBMR,Stem,H,2,50137,63.61,258,357,490,369,15.8,0.05,1.09,130.39,7.14,4.73,1.25,25.43,298105,364.48,20.57,49.53,38.28,680,37
GreenleafBMR,Stem,H,3,50114,62.69,258,353,481,364,15.9,0.05,1.1,129.96,7.29,4.8,1.27,25.48,298174,359.12,20.14,49.5,38.47,676,37
GreenleafBMR,Stem,H,4,50130,63.95,256,352,481,361,15.8,0.05,1.09,129.73,7.06,4.75,1.27,25.45,299909,368.21,20.76,49.45,38.72,676,37
Graingrass,Leaf,L,1,50075,39.32,224,335,502,302,18.4,0.09,1.05,118.25,1.81,4.74,1.4,34.49,676021,514.49,49.42,72.55,62.01,910,41
Graingrass,Leaf,L,2,50031,39.23,222,329,490,298,18.8,0.09,1.05,116.53,2.02,4.85,1.5,35.7,652855,494.89,48.2,72.3,61.7,917,41
Graingrass,Leaf,L,3,50108,39.08,224,334,497,300,18.5,0.09,1.05,118.05,1.89,4.76,1.46,34.45,677158,511.63,48.49,72.67,62.14,912,41
Graingrass,Leaf,L,4,50110,38.26,224,333,496,299,18.5,0.09,1.05,119.25,1.88,4.76,1.42,35.22,680221,503.5,49.12,72.84,62.27,907,41
Graingrass,Leaf,M,1,50033,47.16,242,351,496,328,16.2,0.07,1.05,129.38,3.23,4.29,1.4,30.87,777562,708.16,47.93,72.79,62.64,760,38
Graingrass,Leaf,M,2,50029,48.13,242,351,495,327,16.1,0.07,1.06,129.83,3.27,4.24,1.35,30.66,790509,735.36,48.56,73.08,63.02,759,38
Graingrass,Leaf,M,3,50125,46.78,241,349,490,326,16.1,0.07,1.04,128.58,3.28,4.18,1.31,30.34,792949,714.84,49.19,73.22,63.14,757,38
Graingrass,Leaf,M,4,50029,46.89,241,349,493,325,16.1,0.07,1.05,129.86,3.31,4.27,1.39,30.69,784472,712.73,48.2,73,62.93,756,38
Graingrass,Leaf,H,1,28867,77.86,261,344,444,331,12.4,0.04,1.05,135.87,5.91,3.24,0.49,16.48,385433,996.37,39.36,63.71,55.03,511,32
Graingrass,Leaf,H,2,29604,79.89,261,345,443,332,12.3,0.04,1.05,135.16,5.98,3.29,0.49,16.25,398384,1030.25,39.04,63.86,55.23,511,32
Graingrass,Leaf,H,3,29283,82,262,345,445,332,12.3,0.04,1.04,133.73,5.74,3.3,0.48,15.98,386560,1041.03,39.4,63.77,54.78,512,32
Graingrass,Leaf,H,4,28771,79.24,262,345,444,332,12.3,0.04,1.05,135.04,6.15,3.3,0.48,15.88,376970,999.25,38.97,63.39,54.65,514,32
Graingrass,Sheath,L,1,50151,59.76,243,326,439,315,15.1,0.05,1.04,113.74,2.19,3.64,1.06,21.46,361328,414.11,35.34,58.29,47.94,884,42
Graingrass,Sheath,L,2,50081,61.1,246,330,441,319,14.8,0.05,1.02,114.72,2.29,3.46,0.97,19.84,381682,448.15,35.96,58.5,48.39,833,41
Graingrass,Sheath,L,3,50227,59.64,244,327,438,315,15.1,0.05,1.03,114.35,2.24,3.68,1.04,21.95,342506,390.97,34.48,56.73,47.14,932,43
Graingrass,Sheath,L,4,50023,62.05,246,327,432,318,14.8,0.05,1.02,113.54,2.17,3.43,0.99,19.38,375584,448.34,35.58,58.71,48.15,833,40
Graingrass,Sheath,M,1,50168,64.31,247,326,428,316,14.4,0.05,1.04,123.46,3.32,3.59,0.98,19.68,341020,421.63,31.79,55.87,45.06,776,39
Graingrass,Sheath,M,2,50200,64.5,245,325,430,314,14.6,0.05,1.04,122.4,3.34,3.64,1.06,20.43,337144,417.71,31.85,55.99,45,790,40
Graingrass,Sheath,M,3,50052,64.12,247,326,431,317,14.6,0.05,1.06,122.68,3.31,3.68,1.09,20.46,338107,416.5,32.02,56.04,45.26,800,40
Graingrass,Sheath,M,4,50122,64.09,247,325,429,317,14.5,0.05,1.04,124.01,3.31,3.65,1.04,19.88,340814,418.47,31.96,55.74,45.08,777,39
Graingrass,Sheath,H,1,50093,82.77,242,311,401,304,13.1,0.04,1.06,130.24,5.5,3.72,0.89,17.75,296327,470.13,27.63,52.85,41.59,677,37
Graingrass,Sheath,H,2,50174,82.47,242,310,399,302,13.1,0.04,1.05,130.57,5.51,3.69,0.9,18.21,299913,473.66,28.4,53.29,41.84,672,37
Graingrass,Sheath,H,3,50025,82.91,243,313,403,306,13.1,0.04,1.06,131.02,5.52,3.71,0.9,17.7,297535,476.03,28.14,53.03,41.49,674,37
Graingrass,Sheath,H,4,50115,83.48,243,314,405,305,13.1,0.04,1.05,129.95,5.52,3.73,0.91,17.57,294410,472.28,27.83,52.39,41.26,679,37
Graingrass,Stem,L,1,50092,61.28,250,345,478,349,16.1,0.05,1.03,109.67,2.35,3.83,1.09,21.01,218859,257.16,22.15,48.08,34.89,849,42
Graingrass,Stem,L,2,50159,61.95,250,346,478,349,16,0.05,1.04,108.33,2.42,3.82,1.08,20.43,221384,262.22,0.6,2.25,35.07,839,42
Graingrass,Stem,L,3,50248,61.37,251,350,490,353,16,0.05,1.05,108.2,2.32,3.76,1.11,21.01,222134,261.18,22.01,48.39,34.85,842,42
Graingrass,Stem,L,4,50133,60.44,251,348,487,352,16,0.05,1.03,108.68,2.32,3.81,1.11,20.94,223777,259.16,22.89,48.98,35.16,838,42
Graingrass,Stem,M,1,50006,67.28,253,349,482,351,15,0.05,1.05,121.57,3.28,3.74,1.08,20.59,226327,293.29,21.79,47.84,34.59,781,41
Graingrass,Stem,M,2,50113,67.9,255,352,487,352,15,0.05,1.05,121.25,3.4,3.84,1.12,20.76,224093,291.78,21.39,47.57,34.12,780,41
Graingrass,Stem,M,3,50166,66.56,255,351,483,352,15.1,0.05,1.05,119.92,3.56,3.91,1.19,21.17,221852,282.92,0.7,4.13,33.94,781,41
Graingrass,Stem,M,4,50025,65.62,256,354,492,356,15.1,0.05,1.06,121.83,3.28,3.86,1.18,20.94,221008,278.41,20.88,47.27,33.68,780,41
Graingrass,Stem,H,1,50207,80.92,246,329,441,331,13.9,0.04,1.06,129.2,5.81,4.03,1.11,20.16,287528,446.71,24.17,51.8,39.85,694,38
Graingrass,Stem,H,2,50114,77.93,248,333,446,335,14,0.04,1.06,128.38,6.14,4.24,1.17,20.82,289792,433.86,23.46,52.25,39.84,693,38
Graingrass,Stem,H,3,50057,78.47,246,330,445,331,13.9,0.04,1.07,129.56,5.87,4.12,1.15,20.63,290190,437.42,23.93,52.58,40.11,690,38
Graingrass,Stem,H,4,50071,80.17,247,332,447,334,13.8,0.04,1.06,128.93,5.94,4.04,1.1,20.09,290418,448.49,24.48,52.05,39.89,690,38
