Sample Name,Variety,Replicate,Section,HPH Energy,nanopaper.rep,Weight (g),Thickness (mm),Density (g/cm3),Porosity (%),Grammage (g/m2),? (%),UTS (MPa),E (GPa),UT (MJ m-3),TI,Strain*,UTS*,E*,UT *,TI*
Sugargraze-1-Leaf-H,Sugargraze,1,Leaf,H,7,0.1638,0.067,1.086567164,25.57759149,72.8,1.58,77.45,6.78,0.73,71.27953297,1.58,77.45,6.78,0.73,71.27953297
Sugargraze-1-Leaf-H,Sugargraze,1,Leaf,H,8,0.164,0.0673,1.083044411,25.81887593,72.88888889,1.17,65.02,6.57,0.42,60.03447256,,,,,
Sugargraze-1-Leaf-H,Sugargraze,1,Leaf,H,9,0.1647,0.066,1.109090909,24.03486924,73.2,3.33,109.07,7.2,2.45,98.34180328,3.33,109.07,7.2,2.45,98.34180328
Sugargraze-1-Leaf-H,Sugargraze,1,Leaf,H,10,0.1639,0.0687,1.060326702,27.37488341,72.84444444,2.4,93.99,7.21,1.48,88.64249085,2.4,93.99,7.21,1.48,88.64249085
Sugargraze-1-Leaf-H,Sugargraze,1,Leaf,H,11,0.1648,0.0686,1.067703272,26.86963892,73.24444444,2.45,98.42,8.06,1.58,92.17916869,2.45,98.42,8.06,1.58,92.17916869
Sugargraze-1-Leaf-H,Sugargraze,1,Leaf,H,12,0.1649,0.0678,1.080957063,25.96184498,73.28888889,2.69,101.26,7.51,1.8,93.67624621,2.69,101.26,7.51,1.8,93.67624621
Sugargraze-1-Leaf-H,Sugargraze,1,Leaf,H,13,0.1646,0.0688,1.063307494,27.17071962,73.15555556,3.04,105.46,7.15,2.15,99.18109356,3.04,105.46,7.15,2.15,99.18109356
Sugargraze-1-Leaf-H,Sugargraze,1,Leaf,H,14,0.1642,0.0671,1.087597284,25.50703532,72.97777778,2.4,97.1,7.18,1.52,89.27936967,2.4,97.1,7.18,1.52,89.27936967
Sugargraze-1-Leaf-H,Sugargraze,1,Leaf,H,15,0.1644,0.0673,1.085685983,25.63794636,73.06666667,1.21,69.23,7.15,0.45,63.76613595,,,,,
Sugargraze-1-Leaf-H,Sugargraze,1,Leaf,H,16,0.1659,0.0677,1.089118661,25.40283145,73.73333333,1.02,53.5,6.99,0.61,49.12228752,,,,,
Sugargraze-1-Sheath-L,Sugargraze,1,Sheath,L,1,0.2408,0.1147,0.933062094,36.09163737,107.0222222,3.32,82.02,6.22,1.82,87.90411752,3.32,82.02,6.22,1.82,87.90411752
Sugargraze-1-Sheath-L,Sugargraze,1,Sheath,L,2,0.2478,0.1181,0.932543043,36.12718886,110.1333333,3.65,83.54,5.29,2.02,89.58299637,3.65,83.54,5.29,2.02,89.58299637
Sugargraze-1-Sheath-L,Sugargraze,1,Sheath,L,3,0.2476,0.1188,0.926300037,36.55479196,110.0444444,3.64,81.12,5.23,1.96,87.57421648,3.64,81.12,5.23,1.96,87.57421648
Sugargraze-1-Sheath-L,Sugargraze,1,Sheath,L,4,0.2458,0.1171,0.932915836,36.10165504,109.2444444,2.72,71.13,5.19,1.26,76.24481998,2.72,71.13,5.19,1.26,76.24481998
Sugargraze-1-Sheath-L,Sugargraze,1,Sheath,L,5,0.2437,0.1157,0.93613752,35.88099175,108.3111111,3.46,80.54,5.07,1.82,86.03436808,3.46,80.54,5.07,1.82,86.03436808
Sugargraze-1-Sheath-L,Sugargraze,1,Sheath,L,6,0.2423,0.1166,0.923575376,36.74141257,107.6888889,3.71,82.11,5.44,2.02,88.90449236,3.71,82.11,5.44,2.02,88.90449236
Sugargraze-1-Sheath-L,Sugargraze,1,Sheath,L,7,0.2408,0.1152,0.929012346,36.36901742,107.0222222,2.94,75.93,5.28,1.46,81.73196013,2.94,75.93,5.28,1.46,81.73196013
Sugargraze-1-Sheath-L,Sugargraze,1,Sheath,L,8,0.2376,0.1118,0.944543828,35.30521724,105.6,2.86,76.07,5.31,1.41,80.53623106,2.86,76.07,5.31,1.41,80.53623106
Sugargraze-1-Sheath-L,Sugargraze,1,Sheath,L,9,0.2395,0.1169,0.910559833,37.63288817,106.4444444,2.53,79.6,6.2,1.3,87.41874739,2.53,79.6,6.2,1.3,87.41874739
Sugargraze-1-Sheath-L,Sugargraze,1,Sheath,L,10,0.2403,0.1157,0.923076923,36.77555321,106.8,2.81,83.96,6.12,1.55,90.95666667,2.81,83.96,6.12,1.55,90.95666667
Sugargraze-1-Sheath-L,Sugargraze,1,Sheath,L,11,0.2402,0.1153,0.925893804,36.58261619,106.7555556,2.85,86.16,5.48,1.59,93.05602831,2.85,86.16,5.48,1.59,93.05602831
Sugargraze-1-Sheath-L,Sugargraze,1,Sheath,L,12,0.2401,0.1138,0.937707479,35.77346034,106.7111111,3.12,89.69,6.44,1.85,95.64816535,3.12,89.69,6.44,1.85,95.64816535
Sugargraze-1-Sheath-L,Sugargraze,1,Sheath,L,13,0.2403,0.1147,0.931124673,36.22433746,106.8,2.06,73.31,5.75,0.94,78.73274345,2.06,73.31,5.75,0.94,78.73274345
Sugargraze-1-Sheath-L,Sugargraze,1,Sheath,L,14,0.2421,0.1175,0.915744681,37.27776159,107.6,2.61,81.94,5.58,1.38,89.47908922,2.61,81.94,5.58,1.38,89.47908922
Sugargraze-1-Sheath-L,Sugargraze,1,Sheath,L,15,0.2387,0.1155,0.918518519,37.0877727,106.0888889,2.81,83.97,5.74,1.54,91.41895161,2.81,83.97,5.74,1.54,91.41895161
Sugargraze-1-Sheath-L,Sugargraze,1,Sheath,L,16,0.2406,0.1171,0.913179619,37.45345078,106.9333333,2.63,77.99,5.5,1.32,85.40488466,2.63,77.99,5.5,1.32,85.40488466
Sugargraze-1-Sheath-M,Sugargraze,1,Sheath,M,1,0.2161,0.0975,0.985071225,32.52936815,96.04444444,2.9,89.67,6.21,1.72,91.02895072,2.9,89.67,6.21,1.72,91.02895072
Sugargraze-1-Sheath-M,Sugargraze,1,Sheath,M,2,0.2159,0.0997,0.962442884,34.07925451,95.95555556,2.86,89.16,5.94,1.67,92.63926355,2.86,89.16,5.94,1.67,92.63926355
Sugargraze-1-Sheath-M,Sugargraze,1,Sheath,M,3,0.2192,0.098,0.994104308,31.91066381,97.42222222,3.49,99.92,6.41,2.34,100.5125912,3.49,99.92,6.41,2.34,100.5125912
Sugargraze-1-Sheath-M,Sugargraze,1,Sheath,M,4,0.2178,0.0991,0.97679112,33.09649862,96.8,3.3,96.46,6.79,2.14,98.75192149,3.3,96.46,6.79,2.14,98.75192149
Sugargraze-1-Sheath-M,Sugargraze,1,Sheath,M,5,0.218,0.0985,0.983643542,32.62715466,96.88888889,3.49,99.42,6.19,2.3,101.0731995,3.49,99.42,6.19,2.3,101.0731995
Sugargraze-1-Sheath-M,Sugargraze,1,Sheath,M,6,0.2171,0.0988,0.976608187,33.10902828,96.48888889,2.87,88.89,6.11,1.67,91.0191018,2.87,88.89,6.11,1.67,91.0191018
Sugargraze-1-Sheath-M,Sugargraze,1,Sheath,M,7,0.2175,0.1007,0.959947037,34.25020292,96.66666667,2.24,78.4,6.18,1.13,81.67117241,2.24,78.4,6.18,1.13,81.67117241
Sugargraze-1-Sheath-M,Sugargraze,1,Sheath,M,8,0.2183,0.0999,0.971193416,33.47990304,97.02222222,1.4,64.88,6.54,0.53,66.80440678,,,,,
Sugargraze-1-Sheath-M,Sugargraze,1,Sheath,M,9,0.2175,0.0996,0.970548862,33.52405054,96.66666667,3.41,94.49,6.06,2.12,97.35728276,3.41,94.49,6.06,2.12,97.35728276
Sugargraze-1-Sheath-M,Sugargraze,1,Sheath,M,10,0.2169,0.0991,0.972754793,33.37295937,96.4,2.8,84.7,6.48,1.58,87.0723029,2.8,84.7,6.48,1.58,87.0723029
