Sample Name,Variety,Replicate,Section,HPH Energy,nanopaper.rep,Weight (g),Thickness (mm),Density (g/cm3),Porosity (%),Grammage (g/m2),? (%),UTS (MPa),E (GPa),UT (MJ m-3),TI,Strain*,UTS*,E*,UT *,TI*
Sugargraze-1-Stem(<1m)-H,Sugargraze,1,Stem(<1m),H,8,0.2308,0.0955,1.074112856,26.43062628,102.5777778,1.27,67.87,6.61,0.45,63.18702881,,,,,
Sugargraze-1-Stem(<1m)-H,Sugargraze,1,Stem(<1m),H,9,0.2278,0.0971,1.042682229,28.58340897,101.2444444,3.2,101.93,6.82,2.2,97.75749232,3.2,101.93,6.82,2.2,97.75749232
Sugargraze-1-Stem(<1m)-H,Sugargraze,1,Stem(<1m),H,10,0.2292,0.0972,1.048010974,28.21842644,101.8666667,3.24,102.37,7.2,2.26,97.68027487,3.24,102.37,7.2,2.26,97.68027487
Sugargraze-1-Stem(<1m)-H,Sugargraze,1,Stem(<1m),H,11,0.2308,0.0974,1.053159936,27.8657578,102.5777778,3.57,111.45,6.88,2.66,105.8243826,3.57,111.45,6.88,2.66,105.8243826
Sugargraze-1-Stem(<1m)-H,Sugargraze,1,Stem(<1m),H,12,0.2314,0.0962,1.069069069,26.77609116,102.8444444,1.79,85.13,7.9,0.95,79.63002809,1.79,85.13,7.9,0.95,79.63002809
Sugargraze-1-Stem(<1m)-H,Sugargraze,1,Stem(<1m),H,13,0.2311,0.0972,1.056698674,27.62337849,102.7111111,2.9,101.88,7.19,1.97,96.41348334,2.9,101.88,7.19,1.97,96.41348334
Sugargraze-1-Stem(<1m)-H,Sugargraze,1,Stem(<1m),H,14,0.2294,0.0972,1.048925469,28.15578982,101.9555556,1.9,84.64,7.79,1.03,80.69210113,1.9,84.64,7.79,1.03,80.69210113
Sugargraze-1-Stem(<1m)-H,Sugargraze,1,Stem(<1m),H,15,0.2275,0.0963,1.049959617,28.08495774,101.1111111,2.72,97.41,7.02,1.77,92.7749967,2.72,97.41,7.02,1.77,92.7749967
Sugargraze-1-Stem(<1m)-H,Sugargraze,1,Stem(<1m),H,16,0.2278,0.097,1.043757159,28.50978361,101.2444444,2.48,93.65,6.89,1.53,89.72393547,2.48,93.65,6.89,1.53,89.72393547
Sugargraze-3-Stem(>1m)-L,Sugargraze,3,Stem(>1m),L,1,0.2325,0.1216,0.849780702,41.79584235,103.3333333,2.39,74.04,6.59,1.17,87.12836129,2.39,74.04,6.59,1.17,87.12836129
Sugargraze-3-Stem(>1m)-L,Sugargraze,3,Stem(>1m),L,2,0.233,0.1215,0.852309099,41.62266444,103.5555556,1.99,69.03,5.65,0.86,80.99174356,1.99,69.03,5.65,0.86,80.99174356
Sugargraze-3-Stem(>1m)-L,Sugargraze,3,Stem(>1m),L,3,0.2341,0.1218,0.854223682,41.49152864,104.0444444,2.33,74.55,5.53,1.11,87.27222341,2.33,74.55,5.53,1.11,87.27222341
Sugargraze-3-Stem(>1m)-L,Sugargraze,3,Stem(>1m),L,4,0.2318,0.1236,0.833513125,42.91005995,103.0222222,2.38,74.37,5.89,1.15,89.22474978,2.38,74.37,5.89,1.15,89.22474978
Sugargraze-3-Stem(>1m)-L,Sugargraze,3,Stem(>1m),L,5,0.2318,0.1221,0.843752844,42.20870933,103.0222222,1.56,62.02,6.16,0.59,73.50493745,1.56,62.02,6.16,0.59,73.50493745
Sugargraze-3-Stem(>1m)-L,Sugargraze,3,Stem(>1m),L,6,0.2327,0.1209,0.855436081,41.40848759,103.4222222,1.15,54.6,6.26,0.35,63.82709497,,,,,
Sugargraze-3-Stem(>1m)-L,Sugargraze,3,Stem(>1m),L,7,0.2332,0.1208,0.857983812,41.23398551,103.6444444,2.57,78.17,6.38,1.33,91.10894511,2.57,78.17,6.38,1.33,91.10894511
Sugargraze-3-Stem(>1m)-L,Sugargraze,3,Stem(>1m),L,8,0.2326,0.1193,0.866536276,40.64820024,103.3777778,2.39,75.38,6.38,1.18,86.99001075,2.39,75.38,6.38,1.18,86.99001075
Sugargraze-3-Stem(>1m)-L,Sugargraze,3,Stem(>1m),L,9,0.2357,0.1263,0.829418492,43.19051424,104.7555556,2.53,70.42,5.33,1.15,84.90285745,2.53,70.42,5.33,1.15,84.90285745
Sugargraze-3-Stem(>1m)-L,Sugargraze,3,Stem(>1m),L,10,0.235,0.1254,0.832890307,42.95271873,104.4444444,1.92,63.14,6.02,0.77,75.80830213,1.92,63.14,6.02,0.77,75.80830213
Sugargraze-3-Stem(>1m)-L,Sugargraze,3,Stem(>1m),L,11,0.2344,0.1243,0.83811567,42.59481713,104.1777778,2.66,74.44,5.71,1.28,88.81828925,2.66,74.44,5.71,1.28,88.81828925
Sugargraze-3-Stem(>1m)-L,Sugargraze,3,Stem(>1m),L,12,0.238,0.1258,0.840840841,42.40816159,105.7777778,2.6,71.97,5.54,1.22,85.59289286,2.6,71.97,5.54,1.22,85.59289286
Sugargraze-3-Stem(>1m)-L,Sugargraze,3,Stem(>1m),L,13,0.231,0.1199,0.856269113,41.35143061,102.6666667,2.46,72.81,6.21,1.17,85.03167857,2.46,72.81,6.21,1.17,85.03167857
Sugargraze-3-Stem(>1m)-L,Sugargraze,3,Stem(>1m),L,14,0.2322,0.1206,0.855721393,41.38894568,103.2,2.55,74.41,5.82,1.24,86.95587209,2.55,74.41,5.82,1.24,86.95587209
Sugargraze-3-Stem(>1m)-L,Sugargraze,3,Stem(>1m),L,15,0.2321,0.1217,0.847621656,41.94372218,103.1555556,2.02,64.95,6.04,0.84,76.62616868,2.02,64.95,6.04,0.84,76.62616868
Sugargraze-3-Stem(>1m)-L,Sugargraze,3,Stem(>1m),L,16,0.2297,0.1213,0.841623157,42.35457832,102.0888889,2.21,66.79,5.49,0.95,79.3585579,2.21,66.79,5.49,0.95,79.3585579
Sugargraze-3-Stem(>1m)-M,Sugargraze,3,Stem(>1m),M,1,0.2152,0.103,0.928586839,36.39816169,95.64444444,3.45,97.25,6.76,2.24,104.7290311,3.45,97.25,6.76,2.24,104.7290311
Sugargraze-3-Stem(>1m)-M,Sugargraze,3,Stem(>1m),M,2,0.215,0.1029,0.928625418,36.39551929,95.55555556,3.27,95.4,6.38,2.07,102.7324884,3.27,95.4,6.38,2.07,102.7324884
Sugargraze-3-Stem(>1m)-M,Sugargraze,3,Stem(>1m),M,3,0.2139,0.1039,0.914982355,37.3299757,95.06666667,2.81,86.36,6.33,1.6,94.3843338,2.81,86.36,6.33,1.6,94.3843338
Sugargraze-3-Stem(>1m)-M,Sugargraze,3,Stem(>1m),M,4,0.2149,0.1041,0.917493863,37.15795461,95.51111111,3.08,91.81,6.28,1.88,100.0660644,3.08,91.81,6.28,1.88,100.0660644
Sugargraze-3-Stem(>1m)-M,Sugargraze,3,Stem(>1m),M,5,0.2158,0.1033,0.92847155,36.40605822,95.91111111,3.21,94.1,6.47,2,101.3493628,3.21,94.1,6.47,2,101.3493628
Sugargraze-3-Stem(>1m)-M,Sugargraze,3,Stem(>1m),M,6,0.2149,0.1033,0.924599333,36.67127855,95.51111111,3.44,97.75,6.32,2.24,105.7214693,3.44,97.75,6.32,2.24,105.7214693
Sugargraze-3-Stem(>1m)-M,Sugargraze,3,Stem(>1m),M,7,0.2143,0.1033,0.922017855,36.84809211,95.24444444,3.21,94.4,6.42,2.03,102.3841344,3.21,94.4,6.42,2.03,102.3841344
Sugargraze-3-Stem(>1m)-M,Sugargraze,3,Stem(>1m),M,8,0.2156,0.1036,0.924924925,36.64897774,95.82222222,3.56,99.09,6.35,2.33,107.1330195,3.56,99.09,6.35,2.33,107.1330195
Sugargraze-3-Stem(>1m)-M,Sugargraze,3,Stem(>1m),M,9,0.2152,0.1033,0.925890072,36.58287178,95.64444444,2.84,89.38,6.99,1.69,96.53413801,2.84,89.38,6.99,1.69,96.53413801
Sugargraze-3-Stem(>1m)-M,Sugargraze,3,Stem(>1m),M,10,0.2151,0.1013,0.943731491,35.36085681,95.6,2.06,81.08,6.54,1.06,85.91426778,2.06,81.08,6.54,1.06,85.91426778
Sugargraze-3-Stem(>1m)-M,Sugargraze,3,Stem(>1m),M,11,0.2146,0.1026,0.929607971,36.3282212,95.37777778,1.19,60.72,6.27,0.41,65.31785648,,,,,
Sugargraze-3-Stem(>1m)-M,Sugargraze,3,Stem(>1m),M,12,0.2139,0.1009,0.942186984,35.46664494,95.06666667,2.76,91.58,6.21,1.65,97.1993899,2.76,91.58,6.21,1.65,97.1993899
Sugargraze-3-Stem(>1m)-M,Sugargraze,3,Stem(>1m),M,13,0.2142,0.1006,0.946322068,35.18342003,95.2,2.49,87.75,6.41,1.41,92.72741597,2.49,87.75,6.41,1.41,92.72741597
Sugargraze-3-Stem(>1m)-M,Sugargraze,3,Stem(>1m),M,14,0.216,0.1028,0.93385214,36.03752465,96,1.95,77.16,6.43,0.94,82.6255,1.95,77.16,6.43,0.94,82.6255
Sugargraze-3-Stem(>1m)-M,Sugargraze,3,Stem(>1m),M,15,0.2154,0.1014,0.944115713,35.33454018,95.73333333,3.12,94.76,6.07,1.95,100.3690529,3.12,94.76,6.07,1.95,100.3690529
Sugargraze-3-Stem(>1m)-M,Sugargraze,3,Stem(>1m),M,16,0.2145,0.1018,0.936476752,35.85775673,95.33333333,2.35,82.46,5.91,1.23,88.05344056,2.35,82.46,5.91,1.23,88.05344056
Sugargraze-3-Stem(>1m)-H,Sugargraze,3,Stem(>1m),H,1,0.2285,0.0939,1.081528813,25.92268403,101.5555556,3.36,113.42,7.65,2.57,104.8700678,3.36,113.42,7.65,2.57,104.8700678
Sugargraze-3-Stem(>1m)-H,Sugargraze,3,Stem(>1m),H,2,0.2304,0.0934,1.096359743,24.90686692,102.4,3.65,120.39,7.31,2.96,109.8088477,3.65,120.39,7.31,2.96,109.8088477
Sugargraze-3-Stem(>1m)-H,Sugargraze,3,Stem(>1m),H,3,0.2316,0.0944,1.09039548,25.31537807,102.9333333,3.41,116.13,7.61,2.68,106.5026425,3.41,116.13,7.61,2.68,106.5026425
Sugargraze-3-Stem(>1m)-H,Sugargraze,3,Stem(>1m),H,4,0.2341,0.0939,1.108034552,24.10722246,104.0444444,2.33,101.06,7.38,1.5,91.20654208,2.33,101.06,7.38,1.5,91.20654208
Sugargraze-3-Stem(>1m)-H,Sugargraze,3,Stem(>1m),H,5,0.2332,0.0943,1.09909273,24.71967602,103.6444444,2.63,105.54,6.91,1.79,96.0246548,2.63,105.54,6.91,1.79,96.0246548
Sugargraze-3-Stem(>1m)-H,Sugargraze,3,Stem(>1m),H,6,0.233,0.0942,1.099315876,24.70439203,103.5555556,3.12,112.83,7.42,2.34,102.6365601,3.12,112.83,7.42,2.34,102.6365601
Sugargraze-3-Stem(>1m)-H,Sugargraze,3,Stem(>1m),H,7,0.2285,0.0938,1.082681829,25.84371035,101.5555556,3.14,112.67,7.53,2.35,104.0656608,3.14,112.67,7.53,2.35,104.0656608
Sugargraze-3-Stem(>1m)-H,Sugargraze,3,Stem(>1m),H,8,0.2323,0.0934,1.105400904,24.28760931,103.2444444,1.92,91.28,7.24,1.08,82.57637538,,,,,
Sugargraze-3-Stem(>1m)-H,Sugargraze,3,Stem(>1m),H,9,0.225,0.0948,1.054852321,27.74984105,100,2.66,97.48,6.92,1.71,92.41104,2.66,97.48,6.92,1.71,92.41104
Sugargraze-3-Stem(>1m)-H,Sugargraze,3,Stem(>1m),H,10,0.2251,0.0951,1.051992055,27.94574965,100.0444444,2.91,105.36,7.73,2.05,100.1528476,2.91,105.36,7.73,2.05,100.1528476
Sugargraze-3-Stem(>1m)-H,Sugargraze,3,Stem(>1m),H,11,0.2269,0.0947,1.064883257,27.06279061,100.8444444,3.72,119.78,7.14,3,112.4818136,3.72,119.78,7.14,3,112.4818136
Sugargraze-3-Stem(>1m)-H,Sugargraze,3,Stem(>1m),H,12,0.2277,0.0953,1.061909759,27.26645489,101.2,3.77,120.99,6.93,3.05,113.9362352,3.77,120.99,6.93,3.05,113.9362352
Sugargraze-3-Stem(>1m)-H,Sugargraze,3,Stem(>1m),H,13,0.229,0.0967,1.052510629,27.91023092,101.7777778,2.98,105.44,6.69,2.07,100.1795109,2.98,105.44,6.69,2.07,100.1795109
Sugargraze-3-Stem(>1m)-H,Sugargraze,3,Stem(>1m),H,14,0.2295,0.0983,1.037639878,28.92877548,102,2.35,94.93,6.62,1.42,91.48646078,2.35,94.93,6.62,1.42,91.48646078
Sugargraze-3-Stem(>1m)-H,Sugargraze,3,Stem(>1m),H,15,0.228,0.0945,1.072310406,26.55408181,101.3333333,2.56,99.38,6.92,1.64,92.67838816,2.56,99.38,6.92,1.64,92.67838816
Sugargraze-3-Stem(>1m)-H,Sugargraze,3,Stem(>1m),H,16,0.2258,0.0954,1.051945027,27.94897077,100.3555556,2.16,92.96,6.82,1.25,88.36963685,2.16,92.96,6.82,1.25,88.36963685
Yemen-2-Leaf-L,Yemen,2,Leaf,L,1,0.2304,0.0944,1.084745763,25.70234502,102.4,2.98,84.7,7.06,1.74,78.0828125,2.98,84.7,7.06,1.74,78.0828125
Yemen-2-Leaf-L,Yemen,2,Leaf,L,2,0.2341,0.0999,1.04148593,28.66534723,104.0444444,3.16,79,5.69,1.7,75.85316104,3.16,79,5.69,1.7,75.85316104
Yemen-2-Leaf-L,Yemen,2,Leaf,L,3,0.2311,0.0988,1.039586145,28.79546953,102.7111111,2.57,76.76,6.67,1.33,73.83707486,2.57,76.76,6.67,1.33,73.83707486
Yemen-2-Leaf-L,Yemen,2,Leaf,L,4,0.233,0.0994,1.041806394,28.64339768,103.5555556,2.08,70.58,6.91,0.97,67.74771245,2.08,70.58,6.91,0.97,67.74771245
Yemen-2-Leaf-L,Yemen,2,Leaf,L,5,0.2321,0.097,1.063459336,27.16031948,103.1555556,2.23,73.85,6.55,1.09,69.44318182,2.23,73.85,6.55,1.09,69.44318182
Yemen-2-Leaf-L,Yemen,2,Leaf,L,6,0.2289,0.0978,1.040218132,28.75218272,101.7333333,1.71,66.44,6.29,0.7,63.87121887,,,,,
Yemen-2-Leaf-L,Yemen,2,Leaf,L,7,0.2338,0.0971,1.070145326,26.70237496,103.9111111,3.48,87.7,6.68,2.1,81.95148631,3.48,87.7,6.68,2.1,81.95148631
Yemen-2-Leaf-L,Yemen,2,Leaf,L,8,0.2304,0.0992,1.032258065,29.29739284,102.4,3.57,85.34,5.66,2.08,82.673125,3.57,85.34,5.66,2.08,82.673125
Yemen-2-Leaf-L,Yemen,2,Leaf,L,9,0.2391,0.1039,1.022778312,29.94669093,106.2666667,2.49,63.79,5.51,1.08,62.36933187,2.49,63.79,5.51,1.08,62.36933187
Yemen-2-Leaf-L,Yemen,2,Leaf,L,10,0.237,0.0979,1.075927818,26.30631387,105.3333333,1.31,54.59,6.11,0.41,50.73760443,,,,,
Yemen-2-Leaf-L,Yemen,2,Leaf,L,11,0.2375,0.1002,1.053448658,27.84598231,105.5555556,4.28,83,5.8,2.47,78.78884211,4.28,83,5.8,2.47,78.78884211
Yemen-2-Leaf-L,Yemen,2,Leaf,L,12,0.2385,0.1029,1.030126336,29.44340163,106,2.62,65.03,5.68,1.15,63.12817925,2.62,65.03,5.68,1.15,63.12817925
Yemen-2-Leaf-L,Yemen,2,Leaf,L,13,0.242,0.1087,0.989471532,32.22797724,107.5555556,2.12,58.02,5.54,0.83,58.63736157,2.12,58.02,5.54,0.83,58.63736157
Yemen-2-Leaf-L,Yemen,2,Leaf,L,14,0.2406,0.102,1.048366013,28.19410869,106.9333333,3.07,70.92,5.74,1.47,67.64812968,3.07,70.92,5.74,1.47,67.64812968
Yemen-2-Leaf-L,Yemen,2,Leaf,L,15,0.2358,0.0967,1.083764219,25.76957403,104.8,3.95,85.36,6.38,2.36,78.76251908,3.95,85.36,6.38,2.36,78.76251908
Yemen-2-Leaf-L,Yemen,2,Leaf,L,16,0.2359,0.0999,1.049493938,28.11685354,104.8444444,1.49,55.43,5.7,0.51,52.81593154,,,,,
Yemen-2-Leaf-M,Yemen,2,Leaf,M,1,0.2244,0.0908,1.098384728,24.76816929,99.73333333,3.65,100.96,6.78,2.53,91.91679144,3.65,100.96,6.78,2.53,91.91679144
Yemen-2-Leaf-M,Yemen,2,Leaf,M,2,0.2261,0.0922,1.089901181,25.34923418,100.4888889,3,92.56,6.62,1.88,84.92513047,3,92.56,6.62,1.88,84.92513047
Yemen-2-Leaf-M,Yemen,2,Leaf,M,3,0.2256,0.0934,1.073518915,26.47130719,100.2666667,4.36,104.83,6.32,3.15,97.65081782,4.36,104.83,6.32,3.15,97.65081782
Yemen-2-Leaf-M,Yemen,2,Leaf,M,4,0.2249,0.0926,1.079433645,26.06618868,99.95555556,3.3,97.24,7.19,2.22,90.08427746,3.3,97.24,7.19,2.22,90.08427746
Yemen-2-Leaf-M,Yemen,2,Leaf,M,5,0.2273,0.0921,1.096875377,24.87154952,101.0222222,3.74,103.1,7.05,2.65,93.99426969,3.74,103.1,7.05,2.65,93.99426969
Yemen-2-Leaf-M,Yemen,2,Leaf,M,6,0.2274,0.0923,1.094980137,25.00136046,101.0666667,3.69,100.76,7.34,2.59,92.01993404,3.69,100.76,7.34,2.59,92.01993404
Yemen-2-Leaf-M,Yemen,2,Leaf,M,7,0.2261,0.0916,1.097040272,24.86025536,100.4888889,2.56,87.11,6.74,1.49,79.40455993,2.56,87.11,6.74,1.49,79.40455993
Yemen-2-Leaf-M,Yemen,2,Leaf,M,8,0.2239,0.092,1.081642512,25.91489643,99.51111111,3.76,97.87,6.69,2.53,90.48276016,3.76,97.87,6.69,2.53,90.48276016
Yemen-2-Leaf-M,Yemen,2,Leaf,M,9,0.2245,0.093,1.072879331,26.51511432,99.77777778,3.65,99,6.66,2.5,92.27505568,3.65,99,6.66,2.5,92.27505568
Yemen-2-Leaf-M,Yemen,2,Leaf,M,10,0.2233,0.0915,1.084638737,25.70967554,99.24444444,3.51,97.47,7.02,2.37,89.86402262,3.51,97.47,7.02,2.37,89.86402262
Yemen-2-Leaf-M,Yemen,2,Leaf,M,11,0.2235,0.0925,1.073873874,26.44699494,99.33333333,3.23,93.44,6.84,2.06,87.01208054,3.23,93.44,6.84,2.06,87.01208054
Yemen-2-Leaf-M,Yemen,2,Leaf,M,12,0.2248,0.0927,1.077789764,26.1787833,99.91111111,3.93,103.61,7.54,2.85,96.1319206,3.93,103.61,7.54,2.85,96.1319206
Yemen-2-Leaf-M,Yemen,2,Leaf,M,13,0.226,0.0928,1.082375479,25.86469322,100.4444444,3.71,100,6.39,2.53,92.38938053,3.71,100,6.39,2.53,92.38938053
Yemen-2-Leaf-M,Yemen,2,Leaf,M,14,0.2242,0.0908,1.097405776,24.83522083,99.64444444,3.17,95.91,7.21,2.09,87.39702498,3.17,95.91,7.21,2.09,87.39702498
Yemen-2-Leaf-M,Yemen,2,Leaf,M,15,0.227,0.0937,1.0767224,26.2518904,100.8888889,3.25,94.26,7.25,2.11,87.54345595,3.25,94.26,7.25,2.11,87.54345595
Yemen-2-Leaf-M,Yemen,2,Leaf,M,16,0.2288,0.0935,1.087581699,25.50810278,101.6888889,3.82,100.83,6.92,2.64,92.71027644,3.82,100.83,6.92,2.64,92.71027644
Yemen-2-Leaf-H,Yemen,2,Leaf,H,1,0.1856,0.0724,1.139349294,21.96237712,82.48888889,3.91,121.64,8.4,3.31,106.762694,3.91,121.64,8.4,3.31,106.762694
Yemen-2-Leaf-H,Yemen,2,Leaf,H,2,0.1889,0.0748,1.122400475,23.12325511,83.95555556,4.53,130.86,8.42,4.15,116.5894018,4.53,130.86,8.42,4.15,116.5894018
Yemen-2-Leaf-H,Yemen,2,Leaf,H,3,0.1883,0.0746,1.121834972,23.16198824,83.68888889,3.14,111.97,7.69,2.38,99.80968933,3.14,111.97,7.69,2.38,99.80968933
Yemen-2-Leaf-H,Yemen,2,Leaf,H,4,0.1872,0.0761,1.093298292,25.11655536,83.2,3.31,107.9,8.3,2.47,98.6921875,3.31,107.9,8.3,2.47,98.6921875
Yemen-2-Leaf-H,Yemen,2,Leaf,H,5,0.1879,0.0748,1.116458705,23.53022571,83.51111111,3.88,122.17,8.78,3.3,109.4263491,3.88,122.17,8.78,3.3,109.4263491
Yemen-2-Leaf-H,Yemen,2,Leaf,H,6,0.1857,0.0739,1.116824538,23.50516865,82.53333333,4.79,129.94,8.63,4.48,116.3477302,4.79,129.94,8.63,4.48,116.3477302
Yemen-2-Leaf-H,Yemen,2,Leaf,H,7,0.1891,0.0749,1.122088711,23.14460884,84.04444444,3.96,122.33,8.52,3.37,109.0199008,3.96,122.33,8.52,3.37,109.0199008
Yemen-2-Leaf-H,Yemen,2,Leaf,H,8,0.1887,0.0736,1.139492754,21.95255112,83.86666667,0.46,35.22,8.35,0.08,30.90848967,,,,,
Yemen-2-Leaf-H,Yemen,2,Leaf,H,9,0.1845,0.0766,1.070496084,26.67835044,82,3.71,111.04,7.55,2.85,103.7276098,3.71,111.04,7.55,2.85,103.7276098
Yemen-2-Leaf-H,Yemen,2,Leaf,H,10,0.1872,0.0749,1.110814419,23.9168206,83.2,3.06,105.82,8.07,2.22,95.2634375,3.06,105.82,8.07,2.22,95.2634375
Yemen-2-Leaf-H,Yemen,2,Leaf,H,11,0.1878,0.0774,1.078380706,26.13830779,83.46666667,3.54,107.33,7.3,2.6,99.52885783,3.54,107.33,7.3,2.6,99.52885783
Yemen-2-Leaf-H,Yemen,2,Leaf,H,12,0.1823,0.076,1.066081871,26.98069374,81.02222222,4.49,120.57,8.11,3.77,113.0963796,4.49,120.57,8.11,3.77,113.0963796
Yemen-2-Leaf-H,Yemen,2,Leaf,H,13,0.1889,0.0749,1.120901943,23.22589429,83.95555556,2,92.24,8.73,1.21,82.29087348,,,,,
Yemen-2-Leaf-H,Yemen,2,Leaf,H,14,0.1869,0.0748,1.110516934,23.9371963,83.06666667,1.32,71.09,7.72,0.55,64.01523274,,,,,
Yemen-2-Leaf-H,Yemen,2,Leaf,H,15,0.1897,0.079,1.067229255,26.90210585,84.31111111,0.5,36.22,8.5,0.1,33.93835003,,,,,
Yemen-2-Leaf-H,Yemen,2,Leaf,H,16,0.1838,0.0756,1.080540858,25.99035217,81.68888889,1.48,76.91,8.09,0.7,71.17731774,,,,,
Yemen-1-Sheath-L,Yemen,1,Sheath,L,1,0.2213,0.1022,0.962383127,34.08334748,98.35555556,3.19,93.01,6.28,1.98,96.64550158,3.19,93.01,6.28,1.98,96.64550158
Yemen-1-Sheath-L,Yemen,1,Sheath,L,2,0.228,0.1032,0.981912145,32.74574351,101.3333333,3.01,88.8,6.65,1.78,90.43578947,3.01,88.8,6.65,1.78,90.43578947
Yemen-1-Sheath-L,Yemen,1,Sheath,L,3,0.2278,0.1032,0.981050818,32.80473848,101.2444444,3.17,93.69,6.22,1.98,95.49964004,3.17,93.69,6.22,1.98,95.49964004
Yemen-1-Sheath-L,Yemen,1,Sheath,L,4,0.229,0.104,0.978632479,32.97037818,101.7777778,2.86,88.77,6.4,1.7,90.70820961,2.86,88.77,6.4,1.7,90.70820961
Yemen-1-Sheath-L,Yemen,1,Sheath,L,5,0.2263,0.1025,0.981246612,32.79132791,100.5777778,3.17,94.52,6.91,2.02,96.32644719,3.17,94.52,6.91,2.02,96.32644719
Yemen-1-Sheath-L,Yemen,1,Sheath,L,6,0.2278,0.1041,0.972569111,33.38567734,101.2444444,3.18,93,6.4,1.98,95.62302458,3.18,93,6.4,1.98,95.62302458
Yemen-1-Sheath-L,Yemen,1,Sheath,L,7,0.2286,0.1031,0.985451018,32.5033549,101.6,2.89,91.14,6.57,1.75,92.48557087,2.89,91.14,6.57,1.75,92.48557087
Yemen-1-Sheath-L,Yemen,1,Sheath,L,8,0.2288,0.1036,0.981552982,32.77034373,101.6888889,3.42,95.94,6.62,2.22,97.74306818,3.42,95.94,6.62,2.22,97.74306818
Yemen-1-Sheath-L,Yemen,1,Sheath,L,9,0.224,0.1033,0.963751748,33.98960631,99.55555556,3.36,90.09,6.56,2.04,93.47842969,3.36,90.09,6.56,2.04,93.47842969
Yemen-1-Sheath-L,Yemen,1,Sheath,L,10,0.2333,0.1041,0.996050806,31.77734207,103.6888889,3.44,92.53,6.52,2.16,92.89686777,3.44,92.53,6.52,2.16,92.89686777
Yemen-1-Sheath-L,Yemen,1,Sheath,L,11,0.2227,0.1041,0.950795176,34.87704277,98.97777778,3.47,92.8,6.45,2.19,97.60251459,3.47,92.8,6.45,2.19,97.60251459
Yemen-1-Sheath-L,Yemen,1,Sheath,L,12,0.2259,0.1027,0.977604674,33.04077577,100.4,3.24,93.98,6.58,2.07,96.13292829,3.24,93.98,6.58,2.07,96.13292829
Yemen-1-Sheath-L,Yemen,1,Sheath,L,13,0.2231,0.1028,0.964548206,33.9350544,99.15555556,3.1,91.14,6.93,1.9,94.48983416,3.1,91.14,6.93,1.9,94.48983416
Yemen-1-Sheath-L,Yemen,1,Sheath,L,14,0.2276,0.1036,0.976404976,33.12294682,101.1555556,2.8,87.37,6.61,1.64,89.48131371,2.8,87.37,6.61,1.64,89.48131371
Yemen-1-Sheath-L,Yemen,1,Sheath,L,15,0.226,0.1034,0.971416291,33.46463763,100.4444444,3.27,92.31,6.69,2.04,95.02620133,3.27,92.31,6.69,2.04,95.02620133
Yemen-1-Sheath-L,Yemen,1,Sheath,L,16,0.2251,0.1033,0.968484457,33.66544813,100.0444444,3.34,94.62,6.94,2.16,97.69903821,3.34,94.62,6.94,2.16,97.69903821
Yemen-1-Sheath-M,Yemen,1,Sheath,M,1,0.2083,0.0938,0.986969912,32.39932107,92.57777778,2.53,85.74,6.57,1.42,86.87194911,2.53,85.74,6.57,1.42,86.87194911
Yemen-1-Sheath-M,Yemen,1,Sheath,M,2,0.2126,0.0956,0.988377499,32.30291104,94.48888889,3.7,101,6.33,2.51,102.1876764,3.7,101,6.33,2.51,102.1876764
Yemen-1-Sheath-M,Yemen,1,Sheath,M,3,0.2132,0.095,0.997426901,31.683089,94.75555556,3.45,102.5,6.83,2.38,102.7644231,3.45,102.5,6.83,2.38,102.7644231
Yemen-1-Sheath-M,Yemen,1,Sheath,M,4,0.2062,0.0935,0.980154486,32.86613109,91.64444444,3.95,105.45,6.91,2.84,107.5850812,3.95,105.45,6.91,2.84,107.5850812
Yemen-1-Sheath-M,Yemen,1,Sheath,M,5,0.2126,0.0941,1.004132719,31.22378635,94.48888889,3.56,99.48,6.56,2.39,99.07056914,3.56,99.48,6.56,2.39,99.07056914
Yemen-1-Sheath-M,Yemen,1,Sheath,M,6,0.2073,0.092,1.001449275,31.40758388,92.13333333,3.6,101.43,7.25,2.49,101.2832127,3.6,101.43,7.25,2.49,101.2832127
Yemen-1-Sheath-M,Yemen,1,Sheath,M,7,0.21,0.0922,1.012292119,30.66492338,93.33333333,3.65,104.3,6.78,2.57,103.0335,3.65,104.3,6.78,2.57,103.0335
Yemen-1-Sheath-M,Yemen,1,Sheath,M,8,0.2121,0.0942,1.000707714,31.45837575,94.26666667,3.45,101.07,6.56,2.35,100.9985219,3.45,101.07,6.56,2.35,100.9985219
Yemen-1-Sheath-M,Yemen,1,Sheath,M,9,0.2137,0.0962,0.987294987,32.37705566,94.97777778,3.87,104.18,6.51,2.72,105.5206411,3.87,104.18,6.51,2.72,105.5206411
Yemen-1-Sheath-M,Yemen,1,Sheath,M,10,0.2156,0.096,0.998148148,31.63368848,95.82222222,3.29,96.36,6.13,2.11,96.53877551,3.29,96.36,6.13,2.11,96.53877551
Yemen-1-Sheath-M,Yemen,1,Sheath,M,11,0.2121,0.0959,0.98296837,32.67339933,94.26666667,3.19,95.31,6.82,2.05,96.96141089,3.19,95.31,6.82,2.05,96.96141089
Yemen-1-Sheath-M,Yemen,1,Sheath,M,12,0.2162,0.0962,0.998844999,31.58595898,96.08888889,3.41,100.96,6.61,2.31,101.0767438,3.41,100.96,6.61,2.31,101.0767438
