Sample Name,Variety,Replicate,Section,HPH,Morfi.Rep,fibre_n,fibre_cont,fibre_L,fibre_L.L,fibre_L3.L,fibre_A.L,fibre_W,fibre_course,fibre_kink.num,fibre_kink.ang,fibre_kink.cont,fibre_curl,MF.index,fibre_broken,fine_n,fine_cont,fine_cont.A,fine_cont.L,fine_cont.L.L,fine_A,fine_L
Yemen-3-Stem(<1m)-DL,Yemen,3,Stem(<1m),DL,4,28536,7.556,210,269,361,283,37.8,0.5746,1.042,85.599,3.004,12.004,1.958,60.473,92385,23.181,5.881,42.688,35.598,1486,47
Yemen-2-Stem(>1m)-DL,Yemen,2,Stem(>1m),DL,1,45628,11.65,191,240,329,252,32.2,0.39,1.05,96.73,2.17,9.7,2.32,55.51,430613,105.83,17.28,68.15,62.42,1053,43
Yemen-2-Stem(>1m)-DL,Yemen,2,Stem(>1m),DL,2,38369,11.66,190,241,333,252,32,0.39,1.06,96.84,1.9,9.6,2.22,55.57,371048,108.51,17.89,68.88,62.73,1049,43
Yemen-2-Stem(>1m)-DL,Yemen,2,Stem(>1m),DL,3,46344,11.93,190,238,319,249,32.2,0.38,1.06,97.03,1.98,9.71,2.4,55.58,441903,109.52,17.18,68.55,62.97,1065,43
Yemen-2-Stem(>1m)-DL,Yemen,2,Stem(>1m),DL,4,39349,11.698,190,240,328,253,32.3,0.3852,1.048,97.727,2.02,9.628,2.285,55.604,386754,110.474,16.086,68.961,63.261,1046,43
GreenLeafBMR-1-Leaf-DL,GreenLeafBMR,1,Leaf,DL,1,24182,6.572,217,303,435,286,36.6,0.61,1.076,112.44,2.053,10.463,1.468,57.27,147376,37.8,10.636,56.103,46.854,1335,45
GreenLeafBMR-1-Leaf-DL,GreenLeafBMR,1,Leaf,DL,2,25146,6.862,217,302,430,283,36.8,0.5881,1.083,114.54,2.146,10.606,1.415,57.873,154185,39.883,10.971,56.179,46.985,1316,44
GreenLeafBMR-1-Leaf-DL,GreenLeafBMR,1,Leaf,DL,3,23651,6.42,218,305,437,284,36.6,0.6266,1.081,114.734,2.155,10.47,1.421,57.821,144151,36.746,10.499,56.138,46.839,1345,45
GreenLeafBMR-1-Leaf-DL,GreenLeafBMR,1,Leaf,DL,4,24399,6.748,219,308,443,292,36.7,0.5925,1.069,113.172,2.278,10.572,1.392,57.437,144169,37.771,10.392,55.669,45.739,1336,45
GreenLeafBMR-2-Sheath-DL,GreenLeafBMR,2,Sheath,DL,1,38285,18.999,246,338,464,324,23,0.1715,1.045,114.88,1.928,5.661,0.783,31.21,189995,89.743,15.818,51.562,39.525,1172,45
GreenLeafBMR-2-Sheath-DL,GreenLeafBMR,2,Sheath,DL,2,47061,19.595,246,340,467,327,23.1,0.1655,1.062,116.452,2.091,5.725,0.868,31.254,232185,91.825,15.981,50.986,39.452,1178,45
GreenLeafBMR-2-Sheath-DL,GreenLeafBMR,2,Sheath,DL,3,38471,18.998,245,337,461,321,23,0.1706,1.045,115.38,2.002,5.776,0.801,31.338,191338,90.388,15.917,51.706,39.736,1163,45
GreenLeafBMR-2-Sheath-DL,GreenLeafBMR,2,Sheath,DL,4,34899,20.392,246,340,469,326,22.9,0.1581,1.03,117.191,1.844,5.628,0.799,31.294,175040,97.64,17.376,51.44,39.643,1166,45
GreenLeafBMR-1-Stem-DL,GreenLeafBMR,1,Stem,DL,1,24787,13.164,240,338,480,338,31.5,0.2825,1.068,99.669,2.255,8.291,1.302,47.823,121516,61.132,11.805,47.758,38.337,1134,43
GreenLeafBMR-1-Stem-DL,GreenLeafBMR,1,Stem,DL,2,29188,11.822,240,339,487,341,31.4,0.3141,1.082,99.946,2.347,8.344,1.322,47.847,143033,54.962,10.82,48.087,38.472,1142,44
GreenLeafBMR-1-Stem-DL,GreenLeafBMR,1,Stem,DL,3,26942,11.125,247,353,504,349,31.2,0.3245,1.061,100.128,2.334,8.053,1.274,47.622,128110,50.339,8.791,46.13,36.414,1110,43
GreenLeafBMR-1-Stem-DL,GreenLeafBMR,1,Stem,DL,4,23725,12.043,242,342,489,337,31.2,0.3059,1.087,100.909,2.212,8.207,1.307,48.022,117766,56.795,11.45,47.386,38.217,1119,43
Graingrass-2-Leaf-DL,Graingrass,2,Leaf,DL,1,23586,6.039,233,327,464,302,41.2,0.6319,1.081,112.478,3.438,12.373,1.534,65.211,104665,25.048,6.511,45.776,36.021,1276,42
Graingrass-2-Leaf-DL,Graingrass,2,Leaf,DL,2,21766,6.192,235,330,467,303,41.3,0.6068,1.1,113.031,3.192,12.414,1.46,64.281,99245,26.409,6.411,46.647,36.324,1264,42
Graingrass-2-Leaf-DL,Graingrass,2,Leaf,DL,3,19197,6.479,235,337,489,309,41,0.5846,1.068,116.87,3.424,12.367,1.439,64.488,88845,27.852,7.253,46.392,35.809,1256,42
Graingrass-2-Leaf-DL,Graingrass,2,Leaf,DL,4,20634,6.237,233,325,460,301,41.6,0.6058,1.074,115.537,3.31,12.497,1.484,65.497,94109,26.42,7.4,47.155,36.663,1273,42
Graingrass-3-Sheath-DL,Graingrass,3,Sheath,DL,1,27041,8.61,211,283,395,278,33.8,0.471,1.053,114.905,2.131,9.366,1.275,53.569,132264,39.748,13.252,54.922,45.55,1579,49
Graingrass-3-Sheath-DL,Graingrass,3,Sheath,DL,2,24713,8.562,211,279,380,271,33.7,0.474,1.048,118.059,2.089,9.352,1.244,53.403,123011,40.048,13.148,54.589,46.267,1587,49
Graingrass-3-Sheath-DL,Graingrass,3,Sheath,DL,3,27417,8.646,210,279,384,276,33.7,0.4716,1.07,120.63,2.177,9.321,1.352,53.943,134518,39.952,13.034,55.281,46.109,1573,49
Graingrass-3-Sheath-DL,Graingrass,3,Sheath,DL,4,28009,9.249,213,284,394,276,33.5,0.4347,1.064,115.341,2.286,9.413,1.274,53.102,137530,42.907,12.743,54.696,45.356,1552,49
Graingrass-3-Stem-DL,Graingrass,3,Stem,DL,1,13109,7.875,198,253,335,266,34.8,0.5621,1.06,96.717,1.721,9.214,1.64,57.007,99932,55.904,13.391,62.114,55.928,1116,43
Graingrass-3-Stem-DL,Graingrass,3,Stem,DL,2,13079,8.062,197,250,328,262,34.8,0.5491,1.053,104.34,1.614,9.265,1.588,56.692,99693,58.338,13.536,63.263,56.26,1098,43
Graingrass-3-Stem-DL,Graingrass,3,Stem,DL,3,14908,7.968,199,259,349,274,34.9,0.552,1.071,96.737,1.497,9.21,1.72,56.55,113143,57.274,13.544,62.678,55.386,1107,43
Graingrass-3-Stem-DL,Graingrass,3,Stem,DL,4,11865,8.658,198,252,332,268,34.7,0.5069,1.036,96.171,1.482,9.117,1.567,56.781,91865,62.909,14.296,62.582,56.187,1098,43
