"","variety","df1","df2","statistic","p"
"1","Graingrass",2,124,0.150375820515675,0.860541227952346
"2","GreenleafBMR",2,107,1.28964882739981,0.279612567175934
"3","Sugargraze",2,163,8.75302395884433,0.000245025626670693
"4","Yemen",2,176,16.0659904131047,3.90210388946904e-07
