Biomass,Section,Level,Nanopaper,Strip,weight,thickness,density,porosity,grammage,strain_star,UTS_star,E_star,toughness_star,TI_star
Graingrass,Sheath,L,2,4,0.2243,0.0983,1.014129083,30.53910388,99.68888889,2.85,107.76,7.33,1.97,106.2586625
Graingrass,Sheath,L,2,5,0.2239,0.102,0.975599129,33.17814188,99.51111111,2.64,99.57,6.92,1.67,102.0603618
Graingrass,Sheath,L,2,6,0.2156,0.0993,0.964977062,33.90568071,95.82222222,,,,,
Graingrass,Sheath,L,2,7,0.2221,0.0987,1.000112575,31.49913873,98.71111111,2.24,97.55,7.66,1.37,97.53901959
Graingrass,Sheath,L,2,8,0.2142,0.0941,1.011689692,30.70618549,95.2,,,,,
Graingrass,Sheath,M,1,1,0.2163,0.0921,1.043792979,28.50733023,96.13333333,2.12,93.98,7.14,1.24,90.0370111
Graingrass,Sheath,M,1,2,0.2195,0.0933,1.045611528,28.38277206,97.55555556,2.4,99.22,6.86,1.49,94.89183827
Graingrass,Sheath,M,1,3,0.2192,0.0923,1.055495365,27.70579689,97.42222222,2.57,100.79,6.73,1.7,95.49070826
Graingrass,Sheath,M,1,4,0.2205,0.0929,1.05489774,27.74673017,98,3.01,111.61,7.45,2.19,105.8017245
Graingrass,Sheath,M,1,5,0.2192,0.0929,1.048678388,28.17271317,97.42222222,2.07,95.84,7.33,1.24,91.39122263
Graingrass,Sheath,M,1,6,0.2196,0.0933,1.046087889,28.35014462,97.6,3.23,117.84,7.17,2.48,112.6482787
Graingrass,Sheath,M,1,7,0.2177,0.0921,1.05054892,28.0445945,96.75555556,2.75,109.07,7.18,1.93,103.8219143
Graingrass,Sheath,M,1,8,0.2195,0.0936,1.042260209,28.61231446,97.55555556,2.24,95.99,6.8,1.33,92.09792255
Graingrass,Sheath,M,2,1,0.2223,0.0933,1.058949625,27.46920378,98.8,3.15,116.4,7.06,2.38,109.9202429
Graingrass,Sheath,M,2,2,0.2234,0.0934,1.063050202,27.18834231,99.28888889,1.73,88.08,7.47,0.92,82.85591764
Graingrass,Sheath,M,2,3,0.2198,0.0923,1.058384495,27.5079113,97.68888889,3.69,126.16,7.2,3.07,119.2005369
Graingrass,Sheath,M,2,4,0.2195,0.0919,1.061540322,27.29175879,97.55555556,2.52,105.2,7.43,1.7,99.10127563
Graingrass,Sheath,M,2,5,0.2172,0.0926,1.042476602,28.59749302,96.53333333,,,,,
Graingrass,Sheath,M,2,6,0.2177,0.0928,1.042624521,28.58736157,96.75555556,1.64,85.54,7.77,0.85,82.0429582
Graingrass,Sheath,M,2,7,0.2205,0.0936,1.047008547,28.28708582,98,2.82,110.06,7.77,2.04,105.1185306
Graingrass,Sheath,M,2,8,0.2198,0.0942,1.037037037,28.97006596,97.68888889,1.69,84.78,7.56,0.87,81.75214286
Graingrass,Sheath,H,1,1,0.2161,0.0869,1.10522951,24.29934861,96.04444444,,,,,
Graingrass,Sheath,H,1,2,0.2162,0.0859,1.118613375,23.38264557,96.08888889,3.1,129.8,7.77,2.61,116.0365171
Graingrass,Sheath,H,1,3,0.2177,0.087,1.112132822,23.82651901,96.75555556,1.82,102.03,8.24,1.13,91.74263895
Graingrass,Sheath,H,1,4,0.2166,0.0872,1.103975535,24.38523732,96.26666667,3.35,130.36,7.76,2.86,118.0823269
Graingrass,Sheath,H,1,5,0.2172,0.0883,1.093242733,25.12036075,96.53333333,1.95,103.77,7.98,1.24,94.91945097
Graingrass,Sheath,H,1,6,0.2163,0.0867,1.108804306,24.05449959,96.13333333,2.19,110.13,7.67,1.49,99.32320735
Graingrass,Sheath,H,1,7,0.2174,0.0874,1.105517417,24.27962899,96.62222222,1.82,100.48,7.74,1.08,90.88956762
Graingrass,Sheath,H,1,8,0.2165,0.0863,1.114973606,23.63194478,96.22222222,,,,,
Graingrass,Sheath,H,2,1,0.2208,0.0875,1.12152381,23.18330072,98.13333333,4.6,147.26,7.83,4.54,131.3034986
Graingrass,Sheath,H,2,2,0.2252,0.0879,1.138667678,22.00906316,100.0888889,2.54,116.45,7.71,1.89,102.2686445
Graingrass,Sheath,H,2,3,0.2248,0.0891,1.121336825,23.19610787,99.91111111,3.94,139.32,8.18,3.78,124.2445596
Graingrass,Sheath,H,2,4,0.2265,0.0885,1.13747646,22.09065346,100.6666667,4.24,145.74,7.87,4.12,128.1257285
Graingrass,Sheath,H,2,5,0.2239,0.0886,1.123150238,23.07190149,99.51111111,2.75,119.09,7.63,2.1,106.0321192
